,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,tenure,MonthlyCharges,TotalCharges,Age,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
,7,76.45,503.6,77,26.95,18,11.05,0,188.65,681.2,2
,,29.95,29.95,54,0,27,0,0,0,29.95,1
,,84.5,662.65,51,25.73,19,33.21,0,205.84,835.28,2
,,79.25,1111.65,48,33.54,76,48.25,0,436.02,1499.42,1
,1,24.8,24.8,29,0,29,0,0,0,24.8,1
,6,91,531,39,42.08,29,0,0,252.48,783.48,2
,,79.9,79.9,62,23.2,21,0,0,23.2,103.1,2
,,106.6,1934.45,43,28.35,19,21.72,40,538.65,2491.38,1
,,46,84.5,19,49.81,41,0,0,99.62,184.12,3
,4,70.15,268.35,39,29.4,17,21.69,0,117.6,364.26,2
,4,50.05,179.35,50,9.67,22,0,0,38.68,218.03,2
,1,55.2,55.2,22,35.6,58,0,0,35.6,90.8,2
,1,84.6,84.6,40,26.85,11,0,0,26.85,111.45,2
,2,54.4,114.1,22,44.31,73,0,0,88.62,202.72,3
,11,95,1120.3,78,11.59,29,0,120,127.49,1367.79,1
,15,74.4,1074.3,65,29.11,29,0,0,436.65,1510.95,1
,1,48.55,48.55,37,11.35,9,0,0,11.35,59.9,1
,2,70.4,147.15,47,46.23,21,0,0,92.46,239.61,1
,1,40.2,40.2,77,0,12,0,0,0,40.2,2
,2,44.6,80.55,41,30.19,16,0,0,60.38,140.93,2
,,41.15,132.2,67,0,28,0,0,0,132.2,2
,,106.9,1364.3,68,32.68,11,0,10,424.84,1799.14,1
,59,19.35,1099.6,51,26.63,0,14.22,0,1571.17,2656.55,3
,16,94.45,1511.2,68,9.43,9,0,0,150.88,1662.08,1
,1,24.8,24.8,60,0,29,0,0,0,24.8,2
,1,70.6,70.6,30,44.59,41,0,0,44.59,115.19,2
,5,85.4,401.1,51,42.29,16,45.37,0,211.45,567.18,3
,52,105.05,5624.85,20,10.59,48,27.6,0,550.68,6147.93,2
,18,95.15,1779.95,52,1.51,28,10.17,0,27.18,1796.96,3
,1,70,70,41,19.15,18,0,10,19.15,99.15,3
,8,74.5,606.55,66,1.78,7,0,0,14.24,620.79,2
,10,44.85,435.4,34,49.58,17,0,0,495.8,931.2,2
,24,76.1,1712.7,69,30.87,15,0,0,740.88,2453.58,2
,1,73.6,73.6,21,6.19,52,0,0,6.19,79.79,1
,4,95.45,396.1,74,31.61,2,0,0,126.44,522.54,3
,32,74.9,2303.35,76,47.34,10,0,0,1514.88,3818.23,2
,5,80.6,415.55,30,5.78,52,36.44,40,28.9,448.01,2
,38,80.3,3058.65,55,42.14,19,0,0,1601.32,4659.97,1
,24,93.15,2231.05,77,16.1,12,0,0,386.4,2617.45,2
,54,82.45,4350.1,70,12.08,5,0,0,652.32,5002.42,1
,2,70.35,139.05,74,13.17,10,0,0,26.34,165.39,3
,7,73.85,511.25,29,28.62,26,13.03,0,200.34,698.56,3
,2,80.6,155.8,54,5.32,20,0,0,10.64,166.44,1
,68,75.8,5293.95,63,29.18,18,0,90,1984.24,7368.19,3
,43,104.6,4759.85,24,12.88,59,0,0,553.84,5313.69,1
,63,103.4,6603,61,48.95,13,0,0,3083.85,9686.85,2
,2,90.4,168.2,47,10.53,8,0,0,21.06,189.26,3
,4,84.8,371.9,26,28.77,19,0,0,115.08,486.98,3
,21,41.9,840.1,77,0,8,0,0,0,840.1,1
,10,80.25,846,40,27.1,11,0,0,271,1117,3
,27,30.75,805.1,71,0,13,0,140,0,945.1,1
,5,96.5,492.55,54,20.86,8,0,0,104.3,596.85,3
,2,85.65,181.5,22,40.43,27,0,0,80.86,262.36,1
,25,104.95,2566.5,48,8.91,10,0,0,222.75,2789.25,3
,1,50.65,50.65,26,14.78,59,0,0,14.78,65.43,1
,1,90.85,90.85,64,8.56,24,0,0,8.56,99.41,3
,11,19.95,214.75,79,29.54,0,0,0,324.94,539.69,1
,55,85.45,4874.7,66,42.82,27,0,90,2355.1,7319.8,1
,34,73.95,2524.45,63,1.55,14,0,0,52.7,2577.15,3
,69,99.45,7007.6,30,48.8,26,0,0,3367.2,10374.8,3
,1,19.9,19.9,59,36.63,0,0,0,36.63,56.53,3
,1,19.6,19.6,52,14.17,0,0,0,14.17,33.77,1
,3,81.35,233.7,77,9.22,14,0,0,27.66,261.36,1
,22,83.3,1845.9,23,4.01,53,0,0,88.22,1934.12,1
,1,75.3,75.3,80,35.09,17,0,20,35.09,130.39,2
,61,19.4,1182.55,22,46.27,0,0,0,2822.47,4005.02,3
,12,45.4,518.9,49,11.12,14,0,0,133.44,652.34,3
,60,105.9,6396.45,20,10.7,71,0,0,642,7038.45,2
,1,69.55,69.55,54,29.78,13,0,0,29.78,99.33,1
,28,81.05,2227.1,58,16.85,13,0,0,471.8,2698.9,1
,4,101.15,385.9,21,9.56,48,0,0,38.24,424.14,1
,7,99.8,673.25,61,47.03,2,0,10,329.21,1012.46,1
,13,55.95,734.35,60,19.05,27,0,0,247.65,982,1
,1,55,55,25,47.22,53,0,0,47.22,102.22,1
,1,74.7,74.7,52,21.91,8,0,0,21.91,96.61,1
,24,80.25,1861.5,52,49.3,20,0,0,1183.2,3044.7,1
,5,96.1,453.4,61,31.09,11,0,0,155.45,608.85,1
,15,69,994.8,40,4.67,28,0,0,70.05,1064.85,1
,48,45.3,2145,28,0,58,0,140,0,2285,1
,8,83.55,680.05,32,32.32,25,0,0,258.56,938.61,1
,1,74.35,74.35,32,14.02,2,0,0,14.02,88.37,1
,2,74.4,139.4,28,9.79,41,0,0,19.58,158.98,1
,22,43.75,903.6,51,0,16,0,0,0,903.6,3
,5,28.45,131.05,77,0,26,0,0,0,131.05,2
,12,99.7,1238.45,49,16.07,14,0,0,192.84,1431.29,1
,20,94.1,1782.4,77,48.73,12,0,80,974.6,2837,1
,2,94.2,167.5,49,18.79,19,0,0,37.58,205.08,2
,6,80.5,502.85,64,36.12,23,0,0,216.72,719.57,3
,5,74.35,334.8,72,45.76,22,0,0,228.8,563.6,1
,40,104.8,4131.95,55,35.58,8,0,0,1423.2,5555.15,1
,27,75.2,1929.35,80,7.02,25,0,0,189.54,2118.89,1
,23,75.6,1758.6,47,27.61,23,0,0,635.03,2393.63,1
,34,100.05,3480,22,23.09,52,0,20,785.06,4285.06,3
,1,85,85,51,30.52,30,0,0,30.52,115.52,3
,10,86.05,834.1,33,5.92,11,0,0,59.2,893.3,3
,13,45.55,597,52,0,17,0,0,0,597,3
,39,86.3,3266,29,40.25,19,0,0,1569.75,4835.75,1
,32,80.35,2596.15,31,1.49,21,0,0,47.68,2643.83,1
,35,100.25,3527.6,44,10.49,17,0,0,367.15,3894.75,3
,56,100.3,5614.45,50,26.15,7,0,100,1464.4,7178.85,2
,12,19,233.55,48,19.48,0,0,0,233.76,467.31,1
,1,75.3,75.3,28,4.13,51,0,0,4.13,79.43,1
,4,89.2,346.2,74,48.35,24,0,0,193.4,539.6,1
,1,85.7,85.7,68,45.81,21,0,0,45.81,131.51,1
,12,61.65,713.75,52,36.24,30,0,0,434.88,1148.63,1
,65,105.25,6786.4,78,18.39,28,0,0,1195.35,7981.75,1
,9,29.95,248.95,32,0,9,0,10,0,258.95,2
,9,65,663.05,20,6.35,69,0,0,57.15,720.2,1
,7,20,137.6,27,16.04,0,0,0,112.28,249.88,3
,49,90.05,4547.25,75,22.92,14,0,0,1123.08,5670.33,2
,43,110.75,4687.9,77,14.52,5,0,0,624.36,5312.26,2
,65,105.5,6985.65,20,34.14,26,0,0,2219.1,9204.75,1
,56,104.55,5794.65,80,48.8,12,0,0,2732.8,8527.45,1
,10,85.25,855.3,26,2.02,82,0,100,20.2,975.5,3
,43,56.15,2499.3,57,37.25,20,0,0,1601.75,4101.05,2
,1,89.55,89.55,38,42.46,27,0,0,42.46,132.01,2
,20,94.55,1899.65,75,5.31,10,0,0,106.2,2005.85,1
,1,45.7,45.7,57,5.55,13,0,0,5.55,51.25,3
,2,89.5,161.5,69,47.47,19,0,0,94.94,256.44,2
,3,69.55,222.3,30,26.26,30,0,0,78.78,301.08,1
,1,74.6,74.6,23,22.16,47,0,10,22.16,106.76,3
,8,19.65,164.3,74,27.95,0,0,0,223.6,387.9,2
,2,19.85,35.9,40,15.14,0,0,0,30.28,66.18,3
,4,24.25,96.05,48,0,16,0,0,0,96.05,2
,2,69.65,145.15,52,7.64,27,0,0,15.28,160.43,2
,4,45.65,191.05,47,45.4,27,0,0,181.6,372.65,1
,1,75.05,75.05,23,32.86,58,0,0,32.86,107.91,2
,52,49.15,2550.9,76,0,18,0,30,0,2580.9,2
,2,34.7,62.25,19,0,76,0,0,0,62.25,1
,1,80,80,48,35.71,3,0,0,35.71,115.71,1
,2,49.25,91.1,69,43.99,27,0,0,87.98,179.08,2
,3,75.1,270.7,63,26.52,10,0,0,79.56,350.26,3
,3,50.15,168.15,23,13.54,51,0,0,40.62,208.77,1
,25,79.85,2015.35,54,26.81,12,0,0,670.25,2685.6,2
,1,19.55,19.55,27,38.44,0,0,0,38.44,57.99,2
,4,85.95,381.3,48,4.14,30,0,0,16.56,397.86,3
,3,45.35,141.5,26,36.48,59,0,0,109.44,250.94,3
,33,94.5,3105.55,72,27.78,8,0,0,916.74,4022.29,3
,30,91.7,2758.15,69,45.88,19,0,0,1376.4,4134.55,1
,45,87.25,3941.7,29,4.48,51,0,0,201.6,4143.3,1
,10,98.55,1008.55,51,27.57,13,0,0,275.7,1284.25,1
,20,98.55,1842.8,73,44.44,13,0,120,888.8,2851.6,3
,15,85.9,1269.55,37,24.63,13,0,0,369.45,1639,3
,22,89.25,1907.85,38,18.01,2,0,0,396.22,2304.07,1
,3,70.3,208.85,31,26.71,11,0,0,80.13,288.98,1
,15,93.35,1444.65,49,48.93,15,0,0,733.95,2178.6,1
,1,19.9,19.9,45,49.51,0,0,0,49.51,69.41,2
,5,88.9,454.15,37,41.57,27,0,0,207.85,662,1
,33,95.8,3036.75,24,41.8,41,0,60,1379.4,4476.15,2
,2,82,184.65,42,41.18,14,0,0,82.36,267.01,3
,2,45.35,89.5,63,25.49,9,0,0,50.98,140.48,1
,1,52.2,52.2,41,34.04,23,0,0,34.04,86.24,1
,46,110,4874.8,65,2.37,20,0,0,109.02,4983.82,1
,62,96.75,6125.4,58,22.64,9,0,0,1403.68,7529.08,2
,10,98.5,1058.25,33,14.53,30,0,110,145.3,1313.55,1
,6,85.35,489.45,61,11.97,27,0,0,71.82,561.27,3
,40,101.3,4113.1,54,22.56,4,0,0,902.4,5015.5,1
,1,69.55,69.55,27,49.43,48,0,0,49.43,118.98,2
,58,103.25,6017.65,20,44.5,47,0,0,2581,8598.65,1
,70,104,7250.15,25,12.19,42,0,0,853.3,8103.45,1
,2,86.2,178.7,62,24.05,27,0,0,48.1,226.8,3
,21,111.2,2317.1,24,36.26,59,0,120,761.46,3198.56,3
,16,89.45,1430.25,41,31.73,25,0,0,507.68,1937.93,3
,7,95.6,644.35,74,21.91,11,0,0,153.37,797.72,3
,60,90.95,5453.4,21,33.25,52,0,0,1995,7448.4,3
,50,108.55,5610.7,58,29.43,14,0,0,1471.5,7082.2,2
,4,78.85,292.8,65,36.93,18,0,0,147.72,440.52,3
,1,44.4,44.4,45,32.44,12,0,0,32.44,76.84,1
,55,100,5509.3,66,37.38,7,0,100,2055.9,7665.2,3
,12,19.8,229.6,59,37.65,0,0,0,451.8,681.4,3
,1,89.9,89.9,21,32.85,53,0,0,32.85,122.75,1
,62,100.15,6413.65,41,32.58,15,0,0,2019.96,8433.61,3
,1,50.8,50.8,58,1.28,27,0,0,1.28,52.08,1
,20,73.65,1463.5,71,5.37,24,0,0,107.4,1570.9,1
,3,95.1,307.4,55,47.62,29,0,0,142.86,450.26,1
,22,94.65,2104.55,52,46.28,16,0,40,1018.16,3162.71,2
,4,80.6,319.15,46,14.3,2,0,0,57.2,376.35,3
,59,85.55,5084.65,24,6.91,52,0,0,407.69,5492.34,3
,60,50.8,3027.4,58,0,5,0,0,0,3027.4,2
,15,105.1,1582.75,54,22.39,7,0,0,335.85,1918.6,1
,10,110.1,1043.3,53,18.03,6,0,0,180.3,1223.6,1
,6,83.9,497.55,40,25.93,24,0,0,155.58,653.13,1
,63,100.55,6215.35,48,8.98,16,0,0,565.74,6781.09,2
,50,103.85,5017.9,55,42.21,14,0,0,2110.5,7128.4,2
,1,24.6,24.6,39,0,12,0,0,0,24.6,2
,12,98.9,1120.95,64,34.92,23,0,0,419.04,1539.99,1
,9,98.3,923.5,27,38.76,82,0,0,348.84,1272.34,2
,17,93.85,1625.65,36,4.51,13,0,0,76.67,1702.32,1
,9,100.5,918.6,65,48.71,15,0,0,438.39,1356.99,1
,10,72.85,688.65,69,5.46,24,0,30,54.6,773.25,1
,1,73.55,73.55,75,36.92,6,0,0,36.92,110.47,2
,3,79.4,205.05,75,41.9,11,0,0,125.7,330.75,1
,13,81.15,952.3,37,3.84,4,0,0,49.92,1002.22,1
,4,84.6,360.1,68,6.68,17,0,0,26.72,386.82,1
,6,79.05,434.5,51,19.74,27,0,0,118.44,552.94,1
,3,74.4,215.8,32,23.82,24,0,0,71.46,287.26,3
,35,99.05,3395.8,71,20.83,19,0,120,729.05,4244.85,1
,2,44.95,85.15,80,26.62,11,0,0,53.24,138.39,2
,1,44.7,44.7,21,32.08,73,0,0,32.08,76.78,3
,1,45.7,45.7,36,10.41,17,0,0,10.41,56.11,3
,8,100.3,832.35,66,11.57,27,0,0,92.56,924.91,1
,7,19.25,112.3,53,9.14,0,0,0,63.98,176.28,3
,2,96,174.8,57,48.34,28,0,0,96.68,271.48,2
,1,90.55,90.55,30,15.44,51,0,60,15.44,165.99,2
,44,30.35,1359.7,73,0,28,0,0,0,1359.7,1
,71,108.05,7532.15,30,49.42,53,0,0,3508.82,11040.97,1
,1,69.9,69.9,51,45.66,28,0,0,45.66,115.56,3
,62,103.75,6383.35,77,7.11,16,0,0,440.82,6824.17,1
,1,86.6,86.6,41,5.43,18,0,0,5.43,92.03,3
,33,80.6,2656.5,76,33.19,15,0,0,1095.27,3751.77,2
,35,85.3,2917.5,28,45.14,41,23.89,130,1579.9,4603.51,2
,34,70,2416.1,61,4.66,21,11,0,158.44,2563.54,2
,4,94.3,424.45,65,49.5,23,0,0,198,622.45,2
,7,95.35,660.9,46,48.36,15,34.29,0,338.52,965.13,2
,27,75.5,1893.95,75,10.6,23,0,0,286.2,2180.15,1
,18,90.1,1612.75,33,34.21,19,48.26,0,615.78,2180.27,1
,2,68.95,119.75,26,30.73,39,0,0,61.46,181.21,1
,32,99.55,3204.65,39,33.57,26,35.82,110,1074.24,4353.07,1
,18,57.45,990.85,53,2.86,22,15.73,0,51.48,1026.6,1
,12,53.65,696.35,27,27.82,26,0,0,333.84,1030.19,1
,8,100.6,819.4,75,40.45,29,0,0,323.6,1143,1
,26,83.75,2070.6,62,35.9,26,0,0,933.4,3004,3
,3,88.3,273.75,68,25.77,2,0,0,77.31,351.06,1
,8,92.1,729.95,71,42.93,9,0,0,343.44,1073.39,1
,38,79.45,3013.05,44,35.61,13,9.36,40,1353.18,4396.87,1
,14,90.45,1266.1,74,11.31,24,0,0,158.34,1424.44,3
,32,69.75,2347.9,37,5.99,5,19.67,0,191.68,2519.91,2
,1,19.65,19.65,50,6.08,0,0,0,6.08,25.73,3
,12,43.65,526.95,77,0,10,0,0,0,526.95,1
,5,39.5,210.75,55,0,2,39.27,0,0,171.48,2
,40,97.1,3706.95,58,16.33,23,41.85,0,653.2,4318.3,3
,5,80,412.5,26,43.99,42,40,10,219.95,602.45,3
,10,84.7,832.05,40,45.69,18,12.81,0,456.9,1276.14,1
,2,89.55,185.55,49,8.86,23,0,0,17.72,203.27,1
,23,90.6,1943.2,21,38.69,69,4.73,0,889.87,2828.34,2
,23,90.05,2169.8,64,3.55,4,27.38,0,81.65,2224.07,2
,49,99.05,4853.75,54,20.48,22,14.24,0,1003.52,5843.03,2
,2,69.75,144.55,46,26.44,24,0,0,52.88,197.43,1
,2,49.05,91.1,42,14.7,13,0,40,29.4,160.5,1
,7,98.05,713,32,9.25,29,0,0,64.75,777.75,1
,41,114.5,4527.45,23,21.56,59,0,0,883.96,5411.41,1
,2,80.95,171.15,51,17.33,14,0,0,34.66,205.81,3
,13,74.3,940.35,73,40.37,21,0,0,524.81,1465.16,1
,11,89.7,1047.7,68,3.96,27,0,0,43.56,1091.26,2
,17,100.45,1622.45,74,28.18,16,0,0,479.06,2101.51,3
,25,90.4,2178.6,63,35.27,4,0,140,881.75,3200.35,3
,3,56.15,168.15,21,29.29,52,0,0,87.87,256.02,1
,4,94.4,387.2,59,39.68,18,0,0,158.72,545.92,1
,37,78.95,2839.65,62,37.49,29,0,0,1387.13,4226.78,3
,19,44.85,893.55,27,0,48,0,0,0,893.55,3
,39,105.65,4284.8,65,33.25,26,0,0,1296.75,5581.55,3
,7,74.65,544.55,23,21.58,71,0,10,151.06,705.61,3
,14,64.7,941,51,20.4,30,0,0,285.6,1226.6,1
,11,104.05,1133.65,73,17.25,27,0,0,189.75,1323.4,3
,1,35.55,35.55,38,0,26,0,0,0,35.55,1
,2,95.15,196.9,32,38.51,25,0,0,77.02,273.92,2
,13,96.65,1162.85,54,45.6,11,0,0,592.8,1755.65,1
,3,80.4,224.05,74,3.29,9,0,0,9.87,233.92,2
,1,31.35,31.35,41,0,6,0,80,0,111.35,2
,12,89.75,1052.4,57,14.38,6,0,0,172.56,1224.96,3
,60,94.4,5610.25,33,47.4,29,0,0,2844,8454.25,2
,1,19.85,19.85,32,31.77,0,0,0,31.77,51.62,2
,6,109.9,669.45,55,20.36,10,0,0,122.16,791.61,1
,15,101.35,1553.95,42,45.92,12,0,0,688.8,2242.75,2
,21,60.05,1236.15,80,34.62,14,0,0,727.02,1963.17,1
,1,60.15,60.15,19,33.48,59,0,20,33.48,113.63,3
,7,90.45,593.45,31,35.91,27,0,0,251.37,844.82,2
,53,94.25,4867.95,48,15.77,9,0,0,835.81,5703.76,3
,1,74.9,74.9,26,1.84,76,0,0,1.84,76.74,3
,1,80.25,80.25,34,32.92,3,0,0,32.92,113.17,2
,17,69,1149.65,58,44.97,11,0,0,764.49,1914.14,2
,11,66.35,740.8,62,15.69,12,0,0,172.59,913.39,1
,19,86,1532.45,58,20.41,11,0,30,387.79,1950.24,1
,3,80.3,250.05,37,48.38,14,0,0,145.14,395.19,1
,24,90.55,2282.55,40,35.93,5,0,0,862.32,3144.87,2
,2,75.9,143.35,30,26.87,52,0,0,53.74,197.09,1
,1,45.85,45.85,47,14.9,6,0,0,14.9,60.75,2
,16,49.95,810.2,36,0,29,0,0,0,810.2,1
,34,78.3,2564.3,36,13.45,12,0,0,457.3,3021.6,3
,3,76.95,228.4,44,38.38,23,0,10,115.14,353.54,2
,16,96.15,1529.2,76,38.75,16,0,0,620,2149.2,2
,1,45.3,45.3,49,34.37,28,0,0,34.37,79.67,3
,15,19.4,289.3,47,33.14,0,0,0,497.1,786.4,1
,11,90.15,987.95,46,22.36,3,0,0,245.96,1233.91,1
,1,45.05,45.05,23,48.03,73,0,0,48.03,93.08,1
,1,75.8,75.8,53,14.48,26,0,0,14.48,90.28,1
,7,79.3,523.15,54,19.21,16,0,10,134.47,667.62,1
,2,30.9,59.05,53,0,18,0,0,0,59.05,2
,46,95.25,4424.2,73,6.13,30,0,0,281.98,4706.18,2
,68,89.6,6127.6,70,24.13,24,0,0,1640.84,7768.44,1
,59,110.15,6448.05,43,22.71,26,0,0,1339.89,7787.94,1
,7,89.5,676.7,75,13.63,27,0,0,95.41,772.11,2
,8,75,632.95,20,5.34,42,0,0,42.72,675.67,1
,6,44.75,270.95,35,41.16,10,0,10,246.96,527.91,2
,11,44.05,483.7,41,24.83,30,0,0,273.13,756.83,1
,15,85.6,1345.55,74,45.25,22,0,0,678.75,2024.3,1
,70,115.55,8127.6,30,10.21,52,0,0,714.7,8842.3,1
,16,86.6,1281,76,19.18,22,0,0,306.88,1587.88,3
,18,85.2,1553.9,27,24.4,71,0,0,439.2,1993.1,3
,34,97.65,3207.55,35,43.33,16,0,0,1473.22,4680.77,2
,47,109.55,5124.55,54,7.62,20,0,0,358.14,5482.69,2
,39,89.55,3474.45,50,35.32,30,0,0,1377.48,4851.93,2
,1,19.45,19.45,42,48.96,0,0,0,48.96,68.41,2
,4,20.35,76.35,34,12.43,0,0,0,49.72,126.07,1
,1,69.25,69.25,75,29.68,18,0,0,29.68,98.93,2
,59,99.5,5961.1,33,10.76,5,0,0,634.84,6595.94,3
,1,25.2,25.2,74,0,5,0,0,0,25.2,1
,2,45,96.45,44,17.25,3,0,30,34.5,160.95,1
,1,20.15,20.15,35,40.51,0,0,0,40.51,60.66,2
,66,105,7133.25,28,7.28,51,0,0,480.48,7613.73,1
,3,54.7,169.45,58,2.88,17,0,0,8.64,178.09,1
,14,87.25,1258.6,49,29.18,19,0,0,408.52,1667.12,2
,10,79.95,857.2,38,11.3,4,0,0,113,970.2,1
,18,88.35,1639.3,47,12.67,23,0,0,228.06,1867.36,3
,9,94.75,889.9,34,10.07,26,0,30,90.63,1010.53,2
,13,95.05,1290,73,19.03,24,0,0,247.39,1537.39,1
,4,78.45,330.05,28,42.06,58,0,0,168.24,498.29,1
,4,70.2,237.95,43,13.02,15,0,0,52.08,290.03,1
,59,41.05,2452.7,23,0,69,0,0,0,2452.7,2
,10,85.6,813.85,63,30.1,29,0,0,301,1114.85,2
,1,79.2,79.2,69,20.06,24,0,0,20.06,99.26,3
,5,70,347.4,39,45.25,22,0,10,226.25,583.65,2
,1,49.95,49.95,51,43.49,4,0,0,43.49,93.44,2
,22,69.25,1554,19,32.11,52,0,0,706.42,2260.42,1
,34,94.25,3217.55,75,2.88,4,0,0,97.92,3315.47,1
,41,73,3001.2,34,15.91,29,0,0,652.31,3653.51,2
,64,100.05,6254.2,39,28.13,18,0,0,1800.32,8054.52,1
,4,99.8,442.85,65,12.68,10,0,0,50.72,493.57,1
,18,35,553,27,0,85,0,70,0,623,2
,1,76,76,20,35.01,52,0,0,35.01,111.01,1
,2,93.85,170.85,77,19.27,18,0,0,38.54,209.39,3
,15,84.3,1308.4,36,28.3,28,0,0,424.5,1732.9,1
,9,84.4,732.5,67,30.8,18,0,0,277.2,1009.7,2
,15,101.1,1504.05,62,40.7,29,0,0,610.5,2114.55,2
,1,50.45,50.45,37,28.25,9,0,0,28.25,78.7,3
,12,99.95,1132.75,20,28.16,42,0,120,337.92,1590.67,1
,2,91.4,193.6,50,39.62,7,0,0,79.24,272.84,1
,5,75.55,349.65,78,42.33,9,0,0,211.65,561.3,1
,4,80.8,332.45,28,42.33,76,0,0,169.32,501.77,2
,16,100,1534.75,61,37.83,26,0,0,605.28,2140.03,1
,1,20.55,20.55,53,15.91,0,0,0,15.91,36.46,2
,5,85.3,424.15,30,36.52,27,0,0,182.6,606.75,1
,4,70.4,281,19,41.12,42,0,70,164.48,515.48,1
,37,98.8,3475.55,27,30.72,42,0,0,1136.64,4612.19,1
,13,74.4,896.75,36,2.92,21,0,0,37.96,934.71,1
,24,98.75,2407.3,35,37.69,18,0,0,904.56,3311.86,1
,61,106,6547.7,52,46.95,21,0,0,2863.95,9411.65,1
,41,104.7,4346.4,21,47.74,48,0,0,1957.34,6303.74,1
,22,96.7,2082.95,65,40.18,8,0,100,883.96,3066.91,1
,2,55.05,102.75,47,42.55,30,0,0,85.1,187.85,1
,19,88.2,1775.8,74,39.97,9,0,0,759.43,2535.23,1
,8,19.75,145,44,46.13,0,0,0,369.04,514.04,3
,15,75.65,1146.65,70,46.38,19,0,0,695.7,1842.35,3
,1,74.7,74.7,69,11.34,20,0,0,11.34,86.04,1
,17,76.65,1313.55,62,30.61,7,0,0,520.37,1833.92,2
,1,25.8,25.8,76,0,26,0,20,0,45.8,1
,2,42.6,72.4,49,0,21,0,0,0,72.4,2
,29,68.85,1970.5,45,1.02,19,0,0,29.58,2000.08,1
,2,90,190.05,51,46.92,7,0,0,93.84,283.89,2
,14,75.35,1025.95,42,18.74,20,0,0,262.36,1288.31,2
,8,100.85,819.55,56,3.27,6,0,0,26.16,845.71,2
,5,69.95,330.15,55,17.08,10,0,0,85.4,415.55,2
