gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLTV,City,Zip Code,Lat Long,Latitude,Longitude,Age,Under 30,Married,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
Female,0,,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,3022,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,20,Yes,No,No,0,None,40.55,41,Yes,No,Yes,0,0,689.35,1782.45,1
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,2454,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,56,No,No,No,0,None,12.6,58,No,No,Yes,0,0,63,379.9,1
Male,0,No,No,34,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,2941,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,51,No,No,No,0,Offer C,21.69,28,Yes,No,Yes,0,0,737.46,4286.71,2
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,5674,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,48,No,No,No,0,None,27.57,18,Yes,No,Yes,0,0,303.27,1408.67,3
Female,0,No,No,32.4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,5586,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,32,No,No,No,0,None,5.85,19,No,No,No,0,20,11.7,175.85,1
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,2966,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,34,No,No,No,0,None,3.96,20,Yes,No,Yes,0,0,59.4,1485.8,1
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,5302,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,74,No,Yes,Yes,1,Offer E,48.85,17,No,No,Yes,0,0,390.8,1024.1,3
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,3179,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,71,No,No,No,0,Offer D,11.33,52,Yes,No,Yes,45.61,0,203.94,1910.88,2
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,5571,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,41,No,No,No,0,None,27.21,29,Yes,No,Yes,0,0,244.89,1102.14,3
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,2483,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,32,No,No,No,0,None,13.13,57,No,No,Yes,0,0,13.13,92.48,1
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,3457,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,34,No,Yes,Yes,1,None,8.69,53,No,No,Yes,0,0,60.83,557.73,1
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,5806,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,34,No,No,No,0,None,25.34,56,No,No,No,0,80,304.08,1311.43,1
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,2604,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,30,No,No,No,0,Offer E,34.26,0,No,No,No,0,0,171.3,285.15,3
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,5337,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,78,No,Yes,Yes,1,Offer C,19.76,12,No,No,Yes,13.43,0,494,2995.07,2
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,Yes,5034,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,26,Yes,Yes,Yes,4,Offer A,14.79,47,Yes,Yes,Yes,0,0,1005.72,8617.57,2
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,5154,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,37,No,Yes,No,0,None,49.06,27,No,No,Yes,0,0,2698.3,7937.2,1
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,2793,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,80,No,Yes,Yes,1,Offer C,6.33,14,No,No,Yes,0,0,234.21,3102.36,2
Female,0,Yes,Yes,,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,5998,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,62,No,Yes,Yes,1,None,24.48,30,Yes,No,Yes,0,0,244.8,1309.45,2
Male,0,No,No,,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,4415,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,21,Yes,No,No,0,Offer E,14.6,71,Yes,No,Yes,8.74,0,43.8,264.61,1
Female,1,No,No,,,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,,78.05,2135.5,Yes,4638,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,72,No,No,No,0,Offer C,3.33,18,No,No,No,0,10,89.91,2235.41,1
Female,0,Yes,Yes,,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,4190,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,27,Yes,Yes,Yes,6,Offer C,0,48,Yes,No,Yes,4.48,0,0,1498.17,1
Male,0,No,No,,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,2301,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,64,No,No,No,0,Offer E,0,22,Yes,No,Yes,0,0,0,35.45,3
Male,0,No,No,,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,2570,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,45,No,No,No,0,Offer E,46.84,3,No,No,Yes,0,0,93.68,174.93,3
Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,3964,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,76,No,Yes,Yes,1,Offer E,15.28,30,No,No,Yes,0,0,15.28,85.73,2
Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,2662,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,53,No,No,No,0,Offer E,48.14,18,Yes,Yes,Yes,0,0,385.12,948.77,1
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,2600,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,63,No,No,No,0,Offer E,14.12,24,No,No,Yes,0,0,14.12,59.77,1
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95,655.5,Yes,2786,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,32,No,No,No,0,Offer E,20.52,28,Yes,No,No,36.6,10,143.64,772.54,1
Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,5719,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,26,Yes,Yes,Yes,5,None,36.6,51,Yes,No,Yes,33.43,0,732,2290.92,1
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,4287,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,42,No,No,No,0,Offer E,33.5,27,No,No,Yes,8.74,0,134,398.26,1
Male,1,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,5444,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,66,No,Yes,Yes,6,Offer B,0,24,No,No,Yes,40.95,0,0,2610.25,1
Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,4690,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,26,Yes,Yes,Yes,1,Offer E,11.51,53,Yes,Yes,Yes,45.44,0,23.02,220.38,3
Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,4328,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,24,Yes,Yes,Yes,5,None,40.62,73,Yes,No,Yes,18.55,0,2152.86,7134.51,1
Female,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,5717,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,70,No,No,No,0,Offer D,44.07,19,No,No,Yes,0,0,661.05,1806.75,2
Female,1,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,4419,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,77,No,No,No,0,Offer E,26.95,18,No,No,No,11.05,0,188.65,681.2,2
Female,0,No,No,,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,4534,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,54,No,No,No,0,Offer E,0,27,No,No,Yes,0,0,0,29.95,1
Male,0,No,No,,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,2152,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,51,No,No,No,0,Offer E,25.73,19,Yes,No,Yes,33.21,0,205.84,835.28,2
Female,0,No,No,,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,5142,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,48,No,No,No,0,None,33.54,76,No,No,Yes,48.25,0,436.02,1499.42,1
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,4851,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,29,Yes,Yes,Yes,4,Offer E,0,29,Yes,No,Yes,0,0,0,24.8,1
Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91,531,Yes,2283,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,39,No,Yes,Yes,5,None,42.08,29,Yes,No,Yes,0,0,252.48,783.48,2
Male,0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,3394,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,62,No,No,No,0,None,23.2,21,Yes,No,Yes,0,0,23.2,103.1,2
Female,0,No,No,,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,3764,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,43,No,No,No,0,None,28.35,19,Yes,Yes,No,21.72,40,538.65,2491.38,1
Male,0,No,No,,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes,2667,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,19,Yes,No,No,0,None,49.81,41,Yes,No,Yes,0,0,99.62,184.12,3
Female,0,No,No,4,Yes,No,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,2227,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,39,No,No,No,0,None,29.4,17,No,No,Yes,21.69,0,117.6,364.26,2
Male,0,Yes,No,4,Yes,No,,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,3394,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,50,No,Yes,Yes,2,None,9.67,22,No,Yes,Yes,0,0,38.68,218.03,2
Female,0,Yes,No,1,Yes,No,,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,3638,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,22,Yes,Yes,No,0,None,35.6,58,Yes,No,Yes,0,0,35.6,90.8,2
Male,0,No,No,1,Yes,No,,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,2484,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,40,No,No,No,0,None,26.85,11,Yes,No,Yes,0,0,26.85,111.45,2
Male,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,2556,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,22,Yes,No,No,0,None,44.31,73,Yes,No,Yes,0,0,88.62,202.72,3
Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes,5980,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,78,No,No,No,0,Offer D,11.59,29,No,No,No,0,120,127.49,1367.79,1
Male,1,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,4616,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,65,No,No,No,0,Offer D,29.11,29,No,No,Yes,0,0,436.65,1510.95,1
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,5687,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,37,No,No,No,0,None,11.35,9,No,No,Yes,0,0,11.35,59.9,1
Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,5687,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,47,No,Yes,Yes,1,None,46.23,21,No,No,Yes,0,0,92.46,239.61,1
Male,1,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,5828,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,77,No,Yes,Yes,1,Offer E,0,12,No,No,Yes,0,0,0,40.2,2
Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,4884,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,41,No,Yes,Yes,3,Offer E,30.19,16,No,No,Yes,0,0,60.38,140.93,2
Male,1,No,No,,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,2314,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,67,No,No,No,0,Offer E,0,28,Yes,No,Yes,0,0,0,132.2,2
Male,1,No,No,,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,2494,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,68,No,No,No,0,Offer D,32.68,11,No,No,No,0,10,424.84,1799.14,1
Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,5084,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,51,No,No,No,0,None,26.63,0,No,No,No,14.22,0,1571.17,2656.55,3
Female,1,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,3810,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,68,No,No,No,0,Offer D,9.43,9,Yes,Yes,Yes,0,0,150.88,1662.08,1
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,5087,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,60,No,No,No,0,Offer E,0,29,No,No,Yes,0,0,0,24.8,2
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,3338,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,30,No,No,No,0,Offer E,44.59,41,No,No,Yes,0,0,44.59,115.19,2
Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,3676,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,51,No,Yes,Yes,1,Offer E,42.29,16,No,Yes,Yes,45.37,0,211.45,567.18,3
Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,4839,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,20,Yes,Yes,Yes,6,None,10.59,48,Yes,No,Yes,27.6,0,550.68,6147.93,2
Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,4643,West Covina,91791,"34.061634, -117.893169",34.061634,-117.893169,52,No,Yes,Yes,6,None,1.51,28,Yes,No,Yes,10.17,0,27.18,1796.96,3
Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70,70,Yes,4094,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,41,No,Yes,Yes,1,Offer E,19.15,18,No,No,No,0,10,19.15,99.15,3
Male,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,4345,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,66,No,No,No,0,None,1.78,7,No,No,Yes,0,0,14.24,620.79,2
Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,4061,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,34,No,No,No,0,None,49.58,17,No,No,Yes,0,0,495.8,931.2,2
Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,2018,Boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,69,No,No,No,0,Offer C,30.87,15,No,No,Yes,0,0,740.88,2453.58,2
Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,2565,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,21,Yes,No,No,0,None,6.19,52,Yes,No,Yes,0,0,6.19,79.79,1
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,3677,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,74,No,No,No,0,Offer E,31.61,2,No,No,Yes,0,0,126.44,522.54,3
Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,4105,Mount Laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,76,No,Yes,Yes,2,Offer C,47.34,10,No,No,Yes,0,0,1514.88,3818.23,2
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,5715,Borrego Springs,92004,"33.200369, -116.192313",33.200369,-116.192313,30,No,No,No,0,Offer E,5.78,52,No,No,No,36.44,40,28.9,448.01,2
Female,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,2071,Carlsbad,92009,"33.098018, -117.258203",33.098018,-117.258203,55,No,Yes,Yes,1,Offer C,42.14,19,Yes,Yes,Yes,0,0,1601.32,4659.97,1
Male,1,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,2212,Del Mar,92014,"32.948262, -117.256086",32.948262,-117.256086,77,No,Yes,Yes,1,Offer C,16.1,12,Yes,No,Yes,0,0,386.4,2617.45,2
Female,1,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,4149,El Cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,70,No,No,No,0,Offer B,12.08,5,Yes,Yes,Yes,0,0,652.32,5002.42,1
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,2671,Escondido,92029,"33.079834, -117.134275",33.079834,-117.134275,74,No,No,No,0,Offer E,13.17,10,No,No,Yes,0,0,26.34,165.39,3
Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,2473,Oceanside,92057,"33.254497, -117.285879",33.254497,-117.285879,29,Yes,No,No,0,None,28.62,26,Yes,No,Yes,13.03,0,200.34,698.56,3
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,2683,Pala,92059,"33.384345, -117.072619",33.384345,-117.072619,54,No,No,No,0,None,5.32,20,No,No,Yes,0,0,10.64,166.44,1
Male,0,Yes,Yes,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,4903,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,63,No,Yes,Yes,1,Offer A,29.18,18,Yes,Yes,No,0,90,1984.24,7368.19,3
Female,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,5250,Pauma Valley,92061,"33.313828, -116.940501",33.313828,-116.940501,24,Yes,No,No,0,None,12.88,59,Yes,No,Yes,0,0,553.84,5313.69,1
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603,Yes,4352,Ranchita,92066,"33.215251, -116.53633",33.215251,-116.53633,61,No,Yes,Yes,2,None,48.95,13,Yes,No,Yes,0,0,3083.85,9686.85,2
