Row,Description,Special
NONLIVINGAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
APARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
BASEMENTAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
YEARS_BEGINEXPLUATATION_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
YEARS_BUILD_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
COMMONAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
ELEVATORS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
ENTRANCES_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
FLOORSMAX_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
FLOORSMIN_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
LANDAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
LIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
LIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
NONLIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
NONLIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
FONDKAPREMONT_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
HOUSETYPE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
TOTALAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
WALLSMATERIAL_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
EMERGENCYSTATE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,
DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,
OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default,
DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,
DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,
FLAG_DOCUMENT_2,Did client provide document 2,
FLAG_DOCUMENT_3,Did client provide document 3,
FLAG_DOCUMENT_4,Did client provide document 4,
FLAG_DOCUMENT_5,Did client provide document 5,
FLAG_DOCUMENT_6,Did client provide document 6,
FLAG_DOCUMENT_7,Did client provide document 7,
FLAG_DOCUMENT_8,Did client provide document 8,
FLAG_DOCUMENT_9,Did client provide document 9,
FLAG_DOCUMENT_10,Did client provide document 10,
FLAG_DOCUMENT_11,Did client provide document 11,
FLAG_DOCUMENT_12,Did client provide document 12,
FLAG_DOCUMENT_13,Did client provide document 13,
FLAG_DOCUMENT_14,Did client provide document 14,
FLAG_DOCUMENT_15,Did client provide document 15,
FLAG_DOCUMENT_16,Did client provide document 16,
FLAG_DOCUMENT_17,Did client provide document 17,
FLAG_DOCUMENT_18,Did client provide document 18,
FLAG_DOCUMENT_19,Did client provide document 19,
FLAG_DOCUMENT_20,Did client provide document 20,
FLAG_DOCUMENT_21,Did client provide document 21,
AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,
AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),
AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),
AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),
AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),
AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),
SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ",hashed
SK_ID_CURR,ID of loan in our sample,hashed
NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",
AMT_ANNUITY,Annuity of previous application,
AMT_APPLICATION,For how much credit did client ask on the previous application,
AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",
AMT_DOWN_PAYMENT,Down payment on the previous application,
AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,
WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,
HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application,rounded
FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,
NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,
NFLAG_MICRO_CASH,Flag Micro finance loan,
RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit,normalized
RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit,normalized
RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit,normalized
NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,
NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application",
DAYS_DECISION,Relative to current application when was the decision about previous application made,time only relative to the application
NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,
CODE_REJECT_REASON,Why was the previous application rejected,
NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,
NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,
NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,
NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, �",
NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,
CHANNEL_TYPE,Through which channel we acquired the client on the previous application,
SELLERPLACE_AREA,Selling area of seller place of the previous application,
NAME_SELLER_INDUSTRY,The industry of the seller,
CNT_PAYMENT,Term of previous credit at application of the previous application,
NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application,grouped
PRODUCT_COMBINATION,Detailed product combination of the previous application,
DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application
DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application
DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application,time only relative to the application
DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,time only relative to the application
DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application
NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,
