,ID,Levy,Prod. year,Leather interior,Mileage,Cylinders,Doors,Wheel,Airbags,Airbags0,Category_Coupe,Category_Goods wagon,Category_Hatchback,Category_Jeep,Category_Microbus,Category_Minivan,Category_Sedan,Category_Universal,Fuel type_CNG,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid,Gear box type_Automatic,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator,Drive wheels_4x4,Drive wheels_Front,Drive wheels_Rear,merged1,tahmin,real,error,direction,abserror,percentage,abspercentage
19046,45641263,779.0,2013,1,190549,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8354.316161088183,5018.0,-3336.3161610881834,-1.0,3336.3161610881834,-0.664869701292982,0.664869701292982
3794,45355506,1294.344988720414,2017,1,204200,4,1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,32333.90524668909,31361.0,-972.9052466890898,-1.0,972.9052466890898,-0.031022774997260603,0.031022774997260603
17742,45815326,-651.8780112795858,2008,0,210000,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10470.556676861956,13172.0,2701.4433231380444,1.0,2701.4433231380444,0.20508983625402705,0.20508983625402705
16290,45742493,254.09098872041412,2013,0,133280,4,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,16597.003494530225,21639.0,5041.996505469775,1.0,5041.996505469775,0.23300506056055156,0.23300506056055156
1332,45110033,556.1519887204141,2012,1,105000,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,14604.496063392908,24462.0,9857.503936607092,1.0,9857.503936607092,0.4029721174314076,0.4029721174314076
4951,44922391,891.0,2016,1,33371,4,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,32563.910668739474,26814.0,-5749.910668739474,-1.0,5749.910668739474,-0.2144368862810276,0.2144368862810276
8165,45671308,623.2409887204141,2014,1,50000,4,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,19768.970358784125,25089.0,5320.029641215875,1.0,5320.029641215875,0.2120463008177239,0.2120463008177239
2835,45731513,1091.0,2016,1,124708,4,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,40572.16098763923,44517.0,3944.839012360768,1.0,3944.839012360768,0.08861421507201221,0.08861421507201221
10215,45809359,447.0,2013,1,68614,4,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,19109.218210456325,17813.0,-1296.2182104563253,-1.0,1296.2182104563253,-0.07276810253502079,0.07276810253502079
13645,45809929,494.0,2015,1,149734,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,23539.645818617086,6398.0,-17141.645818617086,-1.0,17141.645818617086,-2.6792194152261777,2.6792194152261777
15293,45802140,862.0,2011,1,242251,4,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,18053.12312419098,18647.0,593.8768758090191,1.0,593.8768758090191,0.031848387183408544,0.031848387183408544
13901,45815748,6327.838988720415,2018,1,25000,6,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,73211.78208687982,78403.0,5191.217913120185,1.0,5191.217913120185,0.06621198057625581,0.06621198057625581
5750,45809183,1172.0,2011,1,139934,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,21201.89131300046,20469.0,-732.8913130004585,-1.0,732.8913130004585,-0.03580493981144455,0.03580493981144455
12088,45795671,-1725.7300112795858,1996,0,0,4,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4339.443790545278,3136.0,-1203.4437905452778,-1.0,1203.4437905452778,-0.38375120871979523,0.38375120871979523
14603,45706018,1405.0,2009,1,59700,6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,23231.402219582873,30734.0,7502.597780417127,1.0,7502.597780417127,0.2441139383229364,0.2441139383229364
15394,45492257,924.0,2017,1,49800,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,16865.08443819442,34497.0,17631.91556180558,1.0,17631.91556180558,0.5111144610199606,0.5111144610199606
10124,45792064,-47.86301127958588,2005,0,22700,6,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17398.037410322162,18817.0,1418.962589677838,1.0,1418.962589677838,0.07540854491565276,0.07540854491565276
13791,45816406,831.0,2011,1,182645,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4123.846221099389,3920.0,-203.84622109938937,-1.0,203.84622109938937,-0.05200158701515035,0.05200158701515035
328,45617361,1091.0,2016,0,34000,4,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,39102.21879171023,21639.0,-17463.218791710227,-1.0,17463.218791710227,-0.8070252225939382,0.8070252225939382
3606,45806669,2690.0,2017,1,54854,8,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,27590.536000754764,17562.0,-10028.536000754764,-1.0,10028.536000754764,-0.5710361007148824,0.5710361007148824
5595,45767894,761.0,2010,0,260000,4,1,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,12697.273705438345,14740.0,2042.7262945616549,1.0,2042.7262945616549,0.1385838734438029,0.1385838734438029
1149,45759860,2151.0,2009,1,264339,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,31303.27633818437,2430.0,-28873.27633818437,-1.0,28873.27633818437,-11.882006723532662,11.882006723532662
1393,45771475,1811.0,2010,1,155821,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,33770.69630233604,39829.0,6058.303697663963,1.0,6058.303697663963,0.1521078535153773,0.1521078535153773
705,43951626,1111.0,2012,0,129000,4,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,13584.317313814845,7150.0,-6434.317313814845,-1.0,6434.317313814845,-0.8999045194146637,0.8999045194146637
3543,45797067,2002.0,2008,1,136192,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,20275.50234909667,10349.0,-9926.50234909667,-1.0,9926.50234909667,-0.959175026485329,0.959175026485329
8580,45785521,-752.5650112795859,2008,0,244800,4,1,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10395.403216031253,12231.0,1835.5967839687473,1.0,1835.5967839687473,0.1500774085494847,0.1500774085494847
10148,45802348,862.0,2011,1,69624,4,1,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,20339.25755018506,18654.0,-1685.2575501850588,-1.0,1685.2575501850588,-0.09034295862469491,0.09034295862469491
3325,45815348,1273.0,2015,1,71939,6,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,18632.788598764102,3293.0,-15339.788598764102,-1.0,15339.788598764102,-4.658302034243578,4.658302034243578
1445,45789640,749.0,2014,1,89000,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,14400.105011348445,12544.0,-1856.1050113484453,-1.0,1856.1050113484453,-0.14796755511387477,0.14796755511387477
1232,45816606,1077.0,2019,1,33693,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,13010.324405935127,29793.0,16782.675594064873,1.0,16782.675594064873,0.5633093543471578,0.5633093543471578
5458,45610723,-1390.178011279586,1998,0,1000,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5538.701358101031,6272.0,733.2986418989694,1.0,733.2986418989694,0.11691623754766732,0.11691623754766732
9171,45788904,1055.0,2013,1,111460,6,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,35438.82455764056,59586.0,24147.17544235944,1.0,24147.17544235944,0.4052491431268996,0.4052491431268996
12170,45809280,271.0,2014,1,41500,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,19979.8476084386,23722.0,3742.1523915614016,1.0,3742.1523915614016,0.15775029051350653,0.15775029051350653
4462,45768407,1750.0,2008,1,334414,6,1,1,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8848.284567059214,12544.0,3695.715432940786,1.0,3695.715432940786,0.2946201716311213,0.2946201716311213
10162,44266062,7334.494988720415,2018,1,18000,6,1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,76080.02423339103,87811.0,11730.975766608972,1.0,11730.975766608972,0.13359346513089443,0.13359346513089443
12089,45802960,971.0,2016,1,71867,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,44666.38688235,59087.0,14420.613117649998,1.0,14420.613117649998,0.24405729039636465,0.24405729039636465
12494,45804349,836.0,2010,1,155300,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,19481.716349350463,22947.0,3465.283650649537,1.0,3465.283650649537,0.15101249185730323,0.15101249185730323
7796,45815372,-1222.4020112795858,1998,0,180003,4,1,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8303.67492732951,7840.0,-463.67492732950996,-1.0,463.67492732950996,-0.05914221011855994,0.05914221011855994
15186,45806248,-1289.4910112795858,2000,1,215000,4,1,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8249.900459205188,7213.0,-1036.9004592051879,-1.0,1036.9004592051879,-0.1437543961188393,0.1437543961188393
13099,44996190,-249.2370112795859,2008,1,86400,4,1,1,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,15475.21410238423,16935.0,1459.7858976157695,1.0,1459.7858976157695,0.08619934441191435,0.08619934441191435
17517,45772853,1017.0,2017,1,0,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,14862.141336440996,4547.0,-10315.141336440996,-1.0,10315.141336440996,-2.268559783690564,2.268559783690564
17418,45800762,584.0,2014,1,135445,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,11819.748725074907,10976.0,-843.7487250749073,-1.0,843.7487250749073,-0.0768721506081366,0.0768721506081366
12643,45793263,488.0,2016,1,28904,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,26024.143553650254,11604.0,-14420.143553650254,-1.0,14420.143553650254,-1.242687310724772,1.242687310724772
8956,45803586,1296.0,2008,0,141877,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4810.759866834838,17876.0,13065.240133165162,1.0,13065.240133165162,0.7308816364491587,0.7308816364491587
2391,45803027,833.0,2015,1,150000,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,36511.49861261198,33908.0,-2603.4986126119766,-1.0,2603.4986126119766,-0.0767812496346578,0.0767812496346578
9827,45816256,917.0,2013,1,179382,6,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,11903.53267793655,7370.0,-4533.53267793655,-1.0,4533.53267793655,-0.6151333348624898,0.6151333348624898
6870,45787297,-1289.4910112795858,2004,0,1111,4,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8105.274677621539,7213.0,-892.274677621539,-1.0,892.274677621539,-0.12370368468342424,0.12370368468342424
5309,45555548,1053.0,2014,1,81600,6,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,31625.12154911714,39201.0,7575.878450882861,1.0,7575.878450882861,0.19325727534713047,0.19325727534713047
11041,45759245,1363.0,2012,1,229334,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,30441.996217819404,52059.0,21617.003782180596,1.0,21617.003782180596,0.4152404729668376,0.4152404729668376
19032,45809379,639.0,2014,1,143414,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,29355.033030991384,23339.0,-6016.033030991384,-1.0,6016.033030991384,-0.2577673863915071,0.2577673863915071
6862,45816075,-1155.313011279586,2000,0,376000,4,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,8639.298222252804,8467.0,-172.2982222528044,-1.0,172.2982222528044,-0.020349382573851944,0.020349382573851944
5720,45802944,911.0,2010,1,68558,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,18157.331408412734,12083.0,-6074.331408412734,-1.0,6074.331408412734,-0.5027171570315927,0.5027171570315927
12108,45798488,-1725.7300112795858,2001,1,1000,6,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3592.0690942846522,3136.0,-456.06909428465224,-1.0,456.06909428465224,-0.14543019588158554,0.14543019588158554
17727,45804619,639.0,2014,1,102000,4,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,26345.63243671946,36219.0,9873.367563280539,1.0,9873.367563280539,0.27260188197577345,0.27260188197577345
9219,45798462,-47.86301127958588,2013,0,80000,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,18707.849564040105,18817.0,109.15043595989482,1.0,109.15043595989482,0.005800629003555021,0.005800629003555021
7653,45783714,779.0,2013,1,108000,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9154.203298666105,22580.0,13425.796701333895,1.0,13425.796701333895,0.5945879850015011,0.5945879850015011
13323,45794076,-1658.6410112795859,1997,0,111111,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5443.591298360963,3763.0,-1680.5912983609633,-1.0,1680.5912983609633,-0.44660943352669763,0.44660943352669763
17356,45810622,552.0,2017,1,98614,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,23500.449170410542,16455.0,-7045.449170410542,-1.0,7045.449170410542,-0.4281646411674593,0.4281646411674593
10090,45803006,1079.0,2018,1,102934,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,54539.24786735349,51028.0,-3511.2478673534933,-1.0,3511.2478673534933,-0.06881021923950563,0.06881021923950563
3524,45809575,585.0,2013,1,137538,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,17919.17824951743,13877.0,-4042.1782495174302,-1.0,4042.1782495174302,-0.2912861749309959,0.2912861749309959
10578,45755144,934.0,2015,0,195200,4,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,18884.56807772541,17562.0,-1322.5680777254092,-1.0,1322.5680777254092,-0.0753085114295302,0.0753085114295302
5109,45803026,765.0,2015,1,170000,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,35408.66581891,36733.0,1324.334181090002,1.0,1324.334181090002,0.03605298181716718,0.03605298181716718
7250,45730806,629.0,2015,1,35607,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,20381.66898011541,19601.0,-780.6689801154098,-1.0,780.6689801154098,-0.03982801796415539,0.03982801796415539
3471,45778106,-1390.178011279586,1999,1,55000,6,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6068.785190052264,6272.0,203.21480994773628,1.0,203.21480994773628,0.032400320463605914,0.032400320463605914
5278,45209840,1126.5689887204142,2015,1,85000,4,1,1,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,26725.586590422525,29793.0,3067.4134095774752,1.0,3067.4134095774752,0.10295752054433845,0.10295752054433845
12061,45650309,1058.0,2012,1,205250,6,1,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,14401.25371194911,29479.0,15077.74628805089,1.0,15077.74628805089,0.5114741439007731,0.5114741439007731
14018,45803095,765.0,2015,1,150000,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,36488.0809467699,37564.0,1075.9190532301,1.0,1075.9190532301,0.028642291907946437,0.028642291907946437
4213,45804595,880.0,2018,1,14661,4,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,46098.30403577639,61521.0,15422.69596422361,1.0,15422.69596422361,0.25068994268987194,0.25068994268987194
