,ID,approv_in_adv,open_credit,business_or_commercial,loan_amount,term,property_value,income,Credit_Score,LTV,dtir1,tahmin,real,prob,correct,
52466,77538,0,0,0,116500,360,148000,1200,735,78.71621622,58,1,0,0.828219651710212,FALSE,0.610169491525424
56042,81128,0,0,0,126500,360,328000,1200,744,38.56707317,47,1,0,0.611435264774918,FALSE,0.6
108738,134041,1,0,1,76500,360,48000,1200,767,159.375,48,1,1,0.891241529530797,TRUE,0.60655737704918
2401,27297,0,0,0,66500,360,88000,1200,804,75.56818182,44,1,0,0.676541038289185,FALSE,0.596774193548387
73355,98503,0,0,1,86500,360,138000,1200,811,62.68115942,36,1,0,0.709019033237088,FALSE,0.587301587301587
87548,112749,0,0,0,76500,180,168000,1200,851,45.53571429,41,1,0,0.652114636304626,FALSE,0.578125
40516,65542,0,0,1,156500,360,158000,1200,869,99.05063291,55,1,1,0.777161734908745,TRUE,0.584615384615385
87940,113142,0,0,0,126500,240,158000,1260,527,80.06329114,48,1,1,0.668881092919392,TRUE,0.590909090909091
120860,146216,0,0,0,86500,360,108000,1260,545,80.09259259,53,1,1,0.80973898737423,TRUE,0.597014925373134
81016,106191,0,0,0,196500,360,358000,1260,716,54.88826816,57,1,1,0.884344627429823,TRUE,0.602941176470588
140771,166191,0,0,0,76500,360,268000,1260,731,28.54477612,45,1,0,0.625548149889307,FALSE,0.594202898550725
28735,53710,0,0,0,376500,360,508000,1260,732,74.11417323,57,1,1,0.899645904166532,TRUE,0.6
112004,137324,0,0,1,106500,360,178000,1260,762,59.83146067,51,1,0,0.769521837501891,FALSE,0.591549295774648
33538,58529,0,0,0,126500,360,168000,1260,765,75.29761905,42,1,0,0.624444888745999,FALSE,0.583333333333333
42992,68023,0,0,1,146500,360,238000,1260,826,61.55462185,57,1,1,0.818817093529119,TRUE,0.589041095890411
78886,104053,0,0,0,86500,360,228000,1260,887,37.93859649,38,1,0,0.605891064005228,FALSE,0.581081081081081
116890,142229,0,0,0,106500,360,298000,1320,602,35.73825503,51,1,0,0.843643698650554,FALSE,0.573333333333333
42724,67753,1,0,0,196500,360,208000,1320,614,94.47115385,56,1,1,0.810126569350573,TRUE,0.578947368421053
13381,38303,1,0,0,56500,360,78000,1320,637,72.43589744,54,1,1,0.769612842880311,TRUE,0.584415584415584
43689,68723,0,0,1,116500,360,138000,1320,652,84.42028986,46,1,0,0.703412285681749,FALSE,0.576923076923077
11960,36879,0,0,1,136500,360,218000,1320,717,62.6146789,48,1,0,0.740597398142857,FALSE,0.569620253164557
128330,153711,0,0,1,56500,360,78000,1320,889,72.43589744,35,1,1,0.718841873516831,TRUE,0.575
26208,51176,0,0,0,76500,360,158000,1380,611,48.41772152,30,1,0,0.635105933898088,FALSE,0.567901234567901
70303,95438,0,0,0,66500,360,88000,1380,675,75.56818182,49,1,0,0.677291261323438,FALSE,0.560975609756098
87945,113147,0,0,0,86500,360,138000,1380,801,62.68115942,57,1,0,0.829753058036661,FALSE,0.55421686746988
97969,123215,0,0,1,56500,360,38000,1380,808,148.6842105,30,1,1,0.930946430907352,TRUE,0.55952380952381
114070,139399,1,0,0,236500,360,318000,1380,831,74.37106918,41,1,1,0.658098085774402,TRUE,0.564705882352941
42000,67027,0,0,1,126500,324,128000,1380,847,98.828125,48,1,1,0.762371120996667,TRUE,0.569767441860465
117969,143310,0,0,1,76500,360,88000,1380,862,86.93181818,39,1,1,0.744014290235425,TRUE,0.574712643678161
106207,131496,0,0,0,86500,360,108000,1440,521,80.09259259,35,1,0,0.641789108211646,FALSE,0.568181818181818
96838,122079,0,0,0,96500,360,138000,1440,522,69.92753623,61,1,0,0.841266880377841,FALSE,0.561797752808989
126990,152370,1,0,0,116500,360,138000,1440,536,84.42028986,43,1,1,0.566756837931174,TRUE,0.566666666666667
124106,149478,0,0,0,146500,360,228000,1440,556,64.25438596,49,1,0,0.672482129368068,FALSE,0.56043956043956
60168,85275,0,0,1,176500,360,208000,1440,563,84.85576923,50,1,1,0.793274119406298,TRUE,0.565217391304348
134794,160194,0,0,1,256500,360,258000,1440,612,99.41860465,22,1,1,0.866434214437925,TRUE,0.56989247311828
103312,128582,0,0,0,96500,180,148000,1440,621,65.2027027,42,1,0,0.635354607750247,FALSE,0.563829787234043
34043,59042,1,0,0,106500,360,158000,1440,624,67.40506329,45,1,0,0.583725864177105,FALSE,0.557894736842105
99037,124284,1,0,0,156500,360,258000,1440,692,60.65891473,44,1,0,0.660008876548145,FALSE,0.552083333333333
42523,67552,1,0,0,86500,360,208000,1440,697,41.58653846,43,1,0,0.590249862455396,FALSE,0.54639175257732
61832,86946,0,0,0,76500,360,198000,1440,704,38.63636364,42,1,0,0.618755623128631,FALSE,0.540816326530612
60908,86018,0,0,0,76500,360,138000,1440,711,55.43478261,41,1,0,0.599805876419333,FALSE,0.535353535353535
32967,57958,0,0,0,136500,360,388000,1440,831,35.18041237,44,1,0,0.613903138616377,FALSE,0.53
125028,150404,0,0,0,126500,360,168000,1500,510,75.29761905,44,1,0,0.618173758295604,FALSE,0.524752475247525
129745,155128,0,0,0,136500,360,238000,1500,572,57.35294118,45,1,0,0.628807192497336,FALSE,0.519607843137255
85127,110319,0,0,0,156500,360,288000,1500,594,54.34027778,49,1,0,0.662652795642917,FALSE,0.514563106796116
38407,63421,0,0,1,46500,360,38000,1500,609,122.3684211,7,1,1,0.934884454217743,TRUE,0.519230769230769
78710,103875,0,0,0,106500,360,208000,1500,656,51.20192308,49,1,1,0.614811857159673,TRUE,0.523809523809524
75925,101082,0,0,0,366500,360,1948000,1500,662,18.81416838,37,1,1,0.697266356031565,TRUE,0.528301886792453
146063,171501,1,0,0,126500,360,288000,1500,662,43.92361111,39,1,0,0.611074672722377,FALSE,0.523364485981308
127041,152421,0,0,0,76500,360,358000,1500,720,21.36871508,36,1,0,0.605290943913617,FALSE,0.518518518518518
2892,27790,0,0,0,96500,360,108000,1500,734,89.35185185,47,1,0,0.736641409225959,FALSE,0.513761467889908
121352,146712,0,0,0,126500,360,268000,1500,748,47.20149254,47,1,0,0.622138412772572,FALSE,0.509090909090909
19697,44640,0,0,0,96500,360,138000,1500,807,69.92753623,32,1,0,0.613379379896629,FALSE,0.504504504504504
143550,168978,0,0,1,106500,360,138000,1500,809,77.17391304,41,1,0,0.687024931691771,FALSE,0.5
80814,105988,1,0,0,116500,360,148000,1500,827,78.71621622,44,1,0,0.566272496403227,FALSE,0.495575221238938
64323,89443,0,0,0,76500,360,88000,1500,844,86.93181818,59,1,1,0.827102898152616,TRUE,0.5
70306,95441,0,0,0,116500,360,178000,1500,873,65.4494382,36,1,0,0.605707450924414,FALSE,0.495652173913043
52049,77120,0,0,0,116500,360,218000,1560,551,53.44036697,46,1,0,0.592731231477326,FALSE,0.491379310344828
81110,106285,0,0,0,86500,360,138000,1560,650,62.68115942,47,1,0,0.593809626585528,FALSE,0.487179487179487
120924,146281,1,0,0,116500,360,178000,1560,658,65.4494382,38,1,0,0.586115858924889,FALSE,0.483050847457627
135513,160914,0,0,1,96500,360,108000,1560,692,89.35185185,55,1,0,0.783406499523461,FALSE,0.478991596638655
77188,102350,0,0,0,176500,360,278000,1560,696,63.48920863,51,1,1,0.83922969370005,TRUE,0.483333333333333
127770,153150,0,0,1,146500,360,188000,1560,697,77.92553191,56,1,0,0.768417697566006,FALSE,0.479338842975207
129904,155289,0,0,1,96500,360,108000,1560,749,89.35185185,39,1,1,0.758539763333119,TRUE,0.483606557377049
140012,165430,0,0,0,116500,360,148000,1560,754,78.71621622,38,1,0,0.610256061204739,FALSE,0.479674796747968
132257,157648,0,0,0,96500,360,158000,1560,778,61.07594937,48,1,0,0.615019094338452,FALSE,0.475806451612903
14591,39515,0,0,0,156500,360,218000,1560,779,71.78899083,46,1,0,0.639010189317405,FALSE,0.472
6198,31102,0,0,0,86500,360,148000,1560,834,58.44594595,37,1,0,0.595185115662545,FALSE,0.468253968253968
81782,106960,0,0,1,76500,360,88000,1560,865,86.93181818,20,1,1,0.784901314870532,TRUE,0.47244094488189
87195,112395,0,0,0,106500,360,218000,1560,877,48.85321101,41,1,0,0.601825647817721,FALSE,0.46875
101881,127144,0,0,0,176500,360,298000,1620,530,59.22818792,48,1,0,0.6289412471221,FALSE,0.465116279069767
132123,157513,1,0,0,136500,360,278000,1620,580,49.10071942,47,1,0,0.570843598394632,FALSE,0.461538461538462
3908,28810,0,0,0,136500,324,198000,1620,594,68.93939394,45,1,0,0.601788138236845,FALSE,0.458015267175573
66327,91454,0,0,1,166500,360,168000,1620,598,99.10714286,57,1,0,0.7582754069453,FALSE,0.454545454545455
30910,55895,0,0,0,96500,360,118000,1620,627,81.77966102,43,1,0,0.606604947861441,FALSE,0.451127819548872
17655,42592,0,0,0,126500,360,188000,1620,631,67.28723404,44,1,0,0.59158332136982,FALSE,0.447761194029851
140543,165962,0,0,0,106500,360,168000,1620,689,63.39285714,61,1,1,0.825625977297706,TRUE,0.451851851851852
17019,41954,1,0,1,76500,360,78000,1620,689,98.07692308,48,1,1,0.702038371223052,TRUE,0.455882352941176
64678,89799,1,0,1,86500,360,158000,1620,753,54.74683544,55,1,0,0.751275312211445,FALSE,0.452554744525547
140407,165826,0,0,0,146500,360,208000,1620,822,70.43269231,44,1,0,0.609581437618745,FALSE,0.449275362318841
97506,122751,0,0,0,96500,360,198000,1620,824,48.73737374,39,1,0,0.591026507506936,FALSE,0.446043165467626
108908,134213,0,0,0,66500,360,138000,1680,519,48.1884058,42,1,0,0.563494505007364,FALSE,0.442857142857143
129509,154892,0,0,0,126500,360,298000,1680,524,42.44966443,57,1,0,0.818399679868842,FALSE,0.439716312056738
24725,49687,0,0,0,136500,324,138000,1680,553,98.91304348,50,1,1,0.687289536000189,TRUE,0.443661971830986
129872,155257,0,0,0,146500,360,408000,1680,573,35.90686275,41,1,0,0.520246636665122,FALSE,0.440559440559441
144148,169581,0,0,1,146500,360,178000,1680,589,82.30337079,53,1,1,0.68452587928257,TRUE,0.444444444444444
105034,130316,0,0,0,56500,360,98000,1680,590,57.65306122,37,1,0,0.608908540617095,FALSE,0.441379310344828
54639,79717,0,0,0,366500,360,658000,1680,726,55.69908815,54,1,1,0.896011966539448,TRUE,0.445205479452055
41961,66988,0,0,0,156500,360,358000,1680,733,43.7150838,43,1,0,0.525869750340501,FALSE,0.442176870748299
124226,149598,0,0,0,336500,360,408000,1680,734,82.4754902,32,1,1,0.699516274664454,TRUE,0.445945945945946
64812,89935,1,0,0,56500,360,58000,1680,839,97.4137931,46,1,0,0.629042299426712,FALSE,0.442953020134228
136552,161958,0,0,0,116500,360,148000,1680,864,78.71621622,43,1,0,0.555348163163909,FALSE,0.44
61767,86881,0,0,0,46500,360,48000,1680,898,96.875,12,1,0,0.76933015616277,FALSE,0.437086092715232
126715,152094,0,0,0,136500,300,208000,1740,545,65.625,42,1,1,0.523391209014677,TRUE,0.44078947368421
41977,67004,0,0,1,86500,360,98000,1740,548,88.26530612,45,1,0,0.756945678877246,FALSE,0.437908496732026
49998,75058,0,0,0,276500,360,458000,1740,561,60.37117904,8,1,1,0.79408482167433,TRUE,0.441558441558442
119929,145281,0,0,0,116500,180,218000,1740,567,53.44036697,44,1,0,0.518516416159537,FALSE,0.438709677419355
113514,138842,0,0,0,116500,360,158000,1740,571,73.73417722,38,1,0,0.529590819488572,FALSE,0.435897435897436
10315,35229,0,0,0,176500,360,228000,1740,578,77.4122807,43,1,0,0.53546979032125,FALSE,0.43312101910828
144291,169724,1,0,1,66500,360,68000,1740,586,97.79411765,38,1,0,0.720551995784303,FALSE,0.430379746835443
3133,28031,0,0,0,286500,360,498000,1740,597,57.53012048,47,1,0,0.584328164337615,FALSE,0.427672955974843
7705,32610,0,0,1,266500,360,268000,1740,598,99.44029851,36,1,1,0.74740162860198,TRUE,0.43125
121972,147334,0,0,0,156500,216,248000,1740,599,63.10483871,45,1,0,0.519687963437893,FALSE,0.428571428571429
125775,151153,0,0,1,146500,324,168000,1740,603,87.20238095,48,1,0,0.691124019250793,FALSE,0.425925925925926
42265,67293,0,0,0,176500,360,168000,1740,610,105.0595238,61,1,1,0.882208300652221,TRUE,0.429447852760736
20878,45826,0,0,1,166500,360,188000,1740,642,88.56382979,47,1,0,0.695564928621371,FALSE,0.426829268292683
132259,157650,0,0,0,226500,360,618000,1740,664,36.65048544,7,1,1,0.753809519624316,TRUE,0.43030303030303
33089,58080,1,0,1,186500,360,228000,1740,668,81.79824561,52,1,1,0.687283696035155,TRUE,0.433734939759036
134233,159631,0,0,1,86500,360,108000,1740,689,80.09259259,51,1,0,0.704290262869314,FALSE,0.431137724550898
75174,100331,0,0,0,126500,360,278000,1740,689,45.50359712,42,0,1,0.496085908899383,FALSE,0.428571428571429
124892,150267,0,0,0,166500,360,588000,1740,695,28.31632653,47,0,0,0.499054930323355,TRUE,0.431952662721893
140091,165509,0,0,0,116500,360,138000,1740,699,84.42028986,38,1,0,0.591488411946137,FALSE,0.429411764705882
147951,173397,0,0,0,116500,360,178000,1740,716,65.4494382,35,1,0,0.510376314898498,FALSE,0.426900584795322
20673,45620,0,0,0,206500,360,268000,1740,736,77.05223881,49,1,0,0.570562316925244,FALSE,0.424418604651163
30963,55948,0,0,0,76500,180,208000,1740,738,36.77884615,47,1,0,0.534050286131537,FALSE,0.421965317919075
131524,156913,0,0,0,66500,360,78000,1740,787,85.25641026,37,1,0,0.692441633078863,FALSE,0.419540229885057
89868,115073,0,0,1,66500,360,218000,1740,794,30.50458716,31,1,1,0.658635850164332,TRUE,0.422857142857143
122368,147732,0,0,1,116500,360,178000,1740,801,65.4494382,58,1,0,0.752549014513503,FALSE,0.420454545454545
143147,168574,0,0,0,156500,360,208000,1740,806,75.24038462,41,1,0,0.514222419440026,FALSE,0.418079096045198
103999,129274,1,0,0,96500,360,128000,1740,814,75.390625,27,1,0,0.538265880110914,FALSE,0.415730337078652
108860,134165,1,0,0,76500,180,268000,1740,815,28.54477612,44,1,1,0.501169027142137,TRUE,0.418994413407821
35600,60602,0,0,0,146500,360,188000,1740,818,77.92553191,43,1,0,0.522828279523135,FALSE,0.416666666666667
62404,87518,0,0,0,76500,324,118000,1740,830,64.83050847,36,1,1,0.548235063892195,TRUE,0.419889502762431
128268,153649,1,0,0,136500,360,128000,1740,832,106.640625,41,1,1,0.763734394237799,TRUE,0.423076923076923
84993,110185,0,0,1,56500,360,68000,1740,883,83.08823529,27,1,1,0.771060845082076,TRUE,0.426229508196721
56000,81086,0,0,0,206500,360,338000,1800,505,61.09467456,47,1,0,0.541265946166005,FALSE,0.423913043478261
72289,97430,0,0,1,126500,360,168000,1800,512,75.29761905,32,1,0,0.643086726947815,FALSE,0.421621621621622
61565,86678,0,0,0,126500,360,288000,1800,521,43.92361111,40,0,0,0.492228865153929,TRUE,0.424731182795699
126220,151598,0,0,1,116500,180,248000,1800,538,46.97580645,54,1,1,0.775410254145925,TRUE,0.427807486631016
49589,74647,0,0,0,126500,324,128000,1800,541,98.828125,44,1,0,0.65700141261859,FALSE,0.425531914893617
88157,113359,0,0,0,126500,360,258000,1800,545,49.03100775,44,0,1,0.494105254492743,FALSE,0.423280423280423
137919,163328,1,0,0,66500,360,218000,1800,566,30.50458716,32,0,0,0.48821853121201,TRUE,0.426315789473684
13719,38642,1,0,0,116500,360,118000,1800,574,98.72881356,34,1,0,0.568841334360607,FALSE,0.424083769633508
6307,31211,1,0,1,76500,360,288000,1800,592,26.5625,36,1,0,0.653175429155239,FALSE,0.421875
120832,146188,0,0,1,136500,360,168000,1800,619,81.25,61,1,0,0.69556619000464,FALSE,0.419689119170984
55568,80649,0,0,0,126500,360,278000,1800,629,45.50359712,44,0,0,0.49636034952011,TRUE,0.422680412371134
75640,100797,0,0,0,126500,180,218000,1800,653,58.02752294,44,1,1,0.51244415203568,TRUE,0.425641025641026
10754,35669,0,0,1,76500,180,78000,1800,722,98.07692308,42,1,0,0.753620168843959,FALSE,0.423469387755102
49526,74584,0,0,0,176500,360,318000,1800,724,55.50314465,44,1,0,0.520115159273235,FALSE,0.421319796954315
115063,140396,0,0,0,96500,360,138000,1800,735,69.92753623,44,1,0,0.541995803479132,FALSE,0.419191919191919
138196,163609,0,0,1,186500,360,478000,1800,749,39.0167364,48,1,1,0.69260738958615,TRUE,0.422110552763819
51784,76853,1,0,1,136500,360,148000,1800,801,92.22972973,56,1,0,0.706803115083184,FALSE,0.42
97529,122774,0,0,0,176500,360,308000,1800,866,57.30519481,44,1,0,0.520842824716005,FALSE,0.417910447761194
106769,132059,0,0,0,136500,360,228000,1800,867,59.86842105,36,1,0,0.505817917576559,FALSE,0.415841584158416
37379,62391,0,0,0,176500,360,248000,1800,886,71.16935484,44,1,0,0.527921507651137,FALSE,0.413793103448276
61717,86831,0,0,0,106500,360,168000,1800,888,63.39285714,37,1,1,0.533308803440587,TRUE,0.416666666666667
18633,43573,0,0,0,136500,360,158000,1860,507,86.39240506,39,1,0,0.604465954007651,FALSE,0.414634146341463
53354,78429,0,0,0,76500,240,148000,1860,510,51.68918919,33,1,0,0.538666644026887,FALSE,0.412621359223301
37832,62845,0,0,1,66500,180,138000,1860,517,48.1884058,53,1,0,0.694426202250176,FALSE,0.410628019323671
30383,55366,1,0,0,116500,360,128000,1860,564,91.015625,42,1,0,0.526240773980097,FALSE,0.408653846153846
113523,138851,1,0,1,146500,360,148000,1860,616,98.98648649,49,1,0,0.627985001678021,FALSE,0.406698564593301
44142,69179,0,0,0,156500,360,528000,1860,648,29.64015152,43,0,0,0.490019386526516,TRUE,0.40952380952381
86480,111676,0,0,0,166500,360,238000,1860,723,69.95798319,40,0,0,0.49668226949922,TRUE,0.412322274881517
362,25253,0,0,1,106500,360,138000,1860,768,77.17391304,43,1,0,0.601264508712806,FALSE,0.410377358490566
122943,148309,0,0,0,166500,360,798000,1860,776,20.86466165,12,1,0,0.686928260443592,FALSE,0.408450704225352
27859,52834,1,0,0,136500,360,228000,1860,781,59.86842105,46,0,0,0.478195829206507,TRUE,0.411214953271028
29071,54048,0,0,0,86500,360,148000,1860,807,58.44594595,30,1,0,0.529705329932623,FALSE,0.409302325581395
113835,139164,1,0,0,116500,360,508000,1860,832,22.93307087,40,0,0,0.489412392696998,TRUE,0.412037037037037
32828,57819,0,0,0,166500,360,208000,1860,841,80.04807692,26,1,1,0.552278673833717,TRUE,0.414746543778802
1574,26466,0,0,0,126500,360,248000,1860,843,51.00806452,38,1,0,0.507730690579388,FALSE,0.412844036697248
41184,66211,0,0,0,136500,360,138000,1860,845,98.91304348,37,1,0,0.656407375100083,FALSE,0.410958904109589
144225,169658,0,0,0,66500,360,88000,1860,848,75.56818182,45,1,0,0.60647197976411,FALSE,0.409090909090909
108328,133630,0,0,1,126500,360,138000,1860,850,91.66666667,41,1,1,0.686448208245465,TRUE,0.411764705882353
135274,160675,0,0,0,126500,360,208000,1860,854,60.81730769,35,1,0,0.501274825495308,FALSE,0.40990990990991
92221,117440,0,0,1,116500,360,128000,1860,881,91.015625,52,1,1,0.711523368604805,TRUE,0.412556053811659
83461,108647,0,0,1,116500,360,158000,1920,542,73.73417722,36,1,0,0.641487199666562,FALSE,0.410714285714286
22179,47135,0,0,1,146500,360,148000,1920,543,98.98648649,58,1,1,0.69857023331652,TRUE,0.413333333333333
58253,83351,0,0,0,86500,360,88000,1920,544,98.29545455,5,1,0,0.783811689009665,FALSE,0.411504424778761
112895,138220,0,0,0,166500,360,238000,1920,545,69.95798319,41,0,1,0.487041724623982,FALSE,0.409691629955947
90856,116065,0,0,1,136500,360,148000,1920,550,92.22972973,58,1,1,0.711394452170773,TRUE,0.412280701754386
95298,120532,0,0,0,256500,360,498000,1920,555,51.5060241,49,1,0,0.556902157621423,FALSE,0.410480349344978
51619,76687,0,0,1,146500,360,188000,1920,581,77.92553191,40,1,0,0.64036562991335,FALSE,0.408695652173913
45530,70572,0,0,0,86500,360,318000,1920,593,27.20125786,31,0,0,0.495729973454916,TRUE,0.411255411255411
58638,83737,0,0,0,206500,300,258000,1920,654,80.03875969,49,1,0,0.588718094979349,FALSE,0.40948275862069
86577,111773,0,0,0,116500,360,188000,1920,703,61.96808511,44,1,1,0.519244573940186,TRUE,0.412017167381974
142599,168024,1,0,0,46500,360,1508000,1920,717,3.083554377,43,0,0,0.499710193291,TRUE,0.414529914529915
75775,100932,0,0,0,146500,360,148000,1920,720,98.98648649,44,1,1,0.624480910745013,TRUE,0.417021276595745
57178,82268,0,0,0,96500,180,338000,1920,732,28.55029586,46,1,0,0.51727910581111,FALSE,0.415254237288136
52533,77605,0,0,0,116500,360,228000,1920,746,51.09649123,49,1,1,0.517305629867208,TRUE,0.417721518987342
84894,110086,0,0,0,156500,360,568000,1920,763,27.5528169,41,0,0,0.483520161261656,TRUE,0.420168067226891
43924,68959,0,0,1,46500,180,258000,1920,799,18.02325581,42,1,0,0.658751357536339,FALSE,0.418410041841004
17077,42012,0,0,1,166500,360,218000,1920,822,76.37614679,44,1,0,0.629875730215376,FALSE,0.416666666666667
87167,112367,0,0,0,156500,360,428000,1920,870,36.56542056,49,0,0,0.492891053293285,TRUE,0.419087136929461
4105,29007,0,0,1,126500,360,178000,1920,890,71.06741573,43,1,0,0.656381884469404,FALSE,0.417355371900826
