,Time,Length,Airline,DayOfWeek,Weekend,HH_C,HH_A,PRED,PROB,REAL,CERT,CORRECT,TP,TN,FP,FN
517877,690,125,0.7034216453931138,4,0,3.707960992250362e-05,1.0,1,0.8201044990273211,1,0.3201044990273211,1,1,0,0,0
157512,1190,135,0.7034216453931138,4,0,5.561941488375542e-05,1.0,1,0.8198307886848838,1,0.3198307886848838,1,1,0,0,0
94150,1205,90,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8197233653749456,1,0.3197233653749456,1,1,0,0,0
466816,635,255,0.7034216453931138,1,0,0.00014831843969001447,1.0,1,0.8192059665926265,1,0.31920596659262646,1,1,0,0,0
89859,995,225,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8186097043397649,1,0.3186097043397649,1,1,0,0,0
319984,995,250,0.7034216453931138,5,0,0.00011123882976751084,1.0,1,0.8185673686972328,1,0.3185673686972328,1,1,0,0,0
156255,1140,245,0.7034216453931138,5,0,0.00012977863472876265,1.0,1,0.8185673686972328,1,0.3185673686972328,1,1,0,0,0
418630,770,125,0.7034216453931138,2,0,5.561941488375542e-05,1.0,1,0.818460331355038,1,0.31846033135503804,1,1,0,0,0
462955,1185,100,0.7034216453931138,4,0,7.415921984500724e-05,1.0,1,0.8184030890028481,1,0.3184030890028481,1,1,0,0,0
149440,920,280,0.7034216453931138,6,1,3.707960992250362e-05,1.0,1,0.8183368982039283,1,0.3183368982039283,1,1,0,0,0
424253,850,285,0.7034216453931138,6,1,1.853980496125181e-05,1.0,1,0.8179487644038456,1,0.31794876440384556,1,1,0,0,0
315085,1205,90,0.7034216453931138,4,0,7.415921984500724e-05,1.0,1,0.8177791641632289,1,0.31777916416322893,1,1,0,0,0
40456,1205,90,0.7034216453931138,4,0,7.415921984500724e-05,1.0,1,0.8177791641632289,1,0.31777916416322893,1,1,0,0,0
411983,935,275,0.7034216453931138,3,0,0.00020393785457376988,0.9090909090909091,1,0.817690413360759,1,0.317690413360759,1,1,0,0,0
520346,1020,195,0.7034216453931138,2,0,0.00011123882976751084,1.0,1,0.8176712298511994,1,0.31767122985119944,1,1,0,0,0
47491,1115,105,0.7034216453931138,5,0,5.561941488375542e-05,1.0,1,0.8174448371467435,1,0.31744483714674354,1,1,0,0,0
521614,975,360,0.7034216453931138,4,0,0.00020393785457376988,0.9090909090909091,1,0.816665965916749,1,0.316665965916749,1,1,0,0,0
416420,1145,275,0.7034216453931138,4,0,0.00020393785457376988,0.9090909090909091,1,0.816395209378586,1,0.316395209378586,1,1,0,0,0
151931,790,80,0.7034216453931138,5,0,3.707960992250362e-05,1.0,1,0.8162194954510165,1,0.31621949545101646,1,1,0,0,0
408541,1035,360,0.7034216453931138,3,0,0.00020393785457376988,0.9090909090909091,1,0.8159625038251115,1,0.3159625038251115,1,1,0,0,0
148677,995,160,0.7034216453931138,2,0,9.269902480625904e-05,1.0,1,0.8159240399084163,1,0.31592403990841633,1,1,0,0,0
160412,960,160,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8154848075549913,1,0.3154848075549913,1,1,0,0,0
253813,965,160,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8154848075549913,1,0.3154848075549913,1,1,0,0,0
197954,965,70,0.7034216453931138,1,0,0.0002410174644962735,0.9230769230769231,1,0.814774062999185,1,0.314774062999185,1,1,0,0,0
86930,1040,170,0.7034216453931138,4,0,9.269902480625904e-05,1.0,1,0.8145634805545089,1,0.3145634805545089,1,1,0,0,0
156949,1130,195,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.81437821907264,1,0.31437821907263996,1,1,0,0,0
466519,930,195,0.7034216453931138,4,0,0.00016685824465126627,1.0,1,0.81437821907264,1,0.31437821907263996,1,1,0,0,0
101316,1020,65,0.7034216453931138,1,0,0.0004264155141087916,0.9130434782608695,1,0.814074951539853,1,0.314074951539853,1,1,0,0,0
93511,915,65,0.7034216453931138,1,0,0.00040787570914753977,0.9090909090909091,1,0.8133913257746825,1,0.31339132577468254,1,1,0,0,0
155517,700,205,0.7034216453931138,3,0,0.00011123882976751084,1.0,1,0.8128247856199989,1,0.31282478561999894,1,1,0,0,0
476367,595,255,0.7034216453931138,4,0,5.561941488375542e-05,1.0,1,0.8127181932021353,1,0.31271819320213534,1,1,0,0,0
479391,775,310,0.7034216453931138,7,1,3.707960992250362e-05,1.0,1,0.8126853527636976,1,0.3126853527636976,1,1,0,0,0
481651,1060,50,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8126538718981728,1,0.31265387189817284,1,1,0,0,0
417220,1150,135,0.7034216453931138,5,0,5.561941488375542e-05,1.0,1,0.8125823544871703,1,0.3125823544871703,1,1,0,0,0
268811,860,105,0.7034216453931138,1,0,0.00016685824465126627,1.0,1,0.8119471476016993,1,0.3119471476016993,1,1,0,0,0
84999,1185,75,0.7034216453931138,1,0,0.00012977863472876265,1.0,1,0.8119299976779811,1,0.31192999767798113,1,1,0,0,0
205168,705,225,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8117793764958194,1,0.31177937649581944,1,1,0,0,0
538926,920,70,0.7034216453931138,4,0,0.0004264155141087916,0.9130434782608695,1,0.8115928933521284,1,0.31159289335212836,1,1,0,0,0
256512,920,70,0.7034216453931138,4,0,0.0004264155141087916,0.9130434782608695,1,0.8115928933521284,1,0.31159289335212836,1,1,0,0,0
40006,965,70,0.7034216453931138,2,0,0.0002410174644962735,0.9230769230769231,1,0.8114416338091955,1,0.31144163380919554,1,1,0,0,0
251695,1005,120,0.7034216453931138,5,0,7.415921984500724e-05,1.0,1,0.8111546548051346,1,0.3111546548051346,1,1,0,0,0
257700,1010,215,0.7034216453931138,7,1,7.415921984500724e-05,1.0,1,0.8110002348706352,1,0.3110002348706352,1,1,0,0,0
429888,705,275,0.7034216453931138,3,0,0.00020393785457376988,0.9090909090909091,1,0.8108600855168138,1,0.31086008551681377,1,1,0,0,0
255166,850,215,0.7034216453931138,5,0,0.0001853980496125181,1.0,1,0.8108285853090623,1,0.3108285853090623,1,1,0,0,0
142305,1100,65,0.7034216453931138,4,0,0.0005191145389150506,0.8928571428571429,1,0.8108127832409544,1,0.3108127832409544,1,1,0,0,0
418474,950,65,0.7034216453931138,4,0,0.0005191145389150506,0.8928571428571429,1,0.8108127832409544,1,0.3108127832409544,1,1,0,0,0
98676,890,205,0.7034216453931138,6,1,5.561941488375542e-05,1.0,1,0.8107694138532341,1,0.3107694138532341,1,1,0,0,0
451260,885,65,0.7034216453931138,3,0,0.0005191145389150506,0.8928571428571429,1,0.8107219438410803,0,0.3107219438410803,0,0,0,1,0
45767,1125,55,0.7034216453931138,4,0,0.00011123882976751084,1.0,1,0.8107038322346574,1,0.31070383223465736,1,1,0,0,0
50423,1115,120,0.7034216453931138,3,0,0.00011123882976751084,1.0,1,0.8106163416527474,1,0.31061634165274743,1,1,0,0,0
87362,920,70,0.7034216453931138,3,0,0.0004264155141087916,0.9130434782608695,1,0.8103293316929028,1,0.3103293316929028,1,1,0,0,0
471942,1070,145,0.7034216453931138,7,1,3.707960992250362e-05,1.0,1,0.8102898083855636,1,0.31028980838556364,1,1,0,0,0
373604,1090,185,0.7034216453931138,5,0,7.415921984500724e-05,1.0,1,0.8102700704502456,1,0.31027007045024557,1,1,0,0,0
202981,760,165,0.7034216453931138,5,0,1.853980496125181e-05,1.0,1,0.810157387464635,1,0.31015738746463495,1,1,0,0,0
169221,975,360,0.7034216453931138,5,0,0.00020393785457376988,0.9090909090909091,1,0.8100794335624382,0,0.31007943356243817,0,0,0,1,0
302604,1040,115,0.7034216453931138,4,0,0.00016685824465126627,1.0,1,0.8100013465338581,1,0.31000134653385814,1,1,0,0,0
413094,1145,275,0.7034216453931138,5,0,0.00020393785457376988,0.9090909090909091,1,0.8098086770242752,1,0.30980867702427517,1,1,0,0,0
92577,1130,275,0.7034216453931138,5,0,0.00020393785457376988,0.9090909090909091,1,0.8098086770242752,1,0.30980867702427517,1,1,0,0,0
320665,1190,65,0.7034216453931138,2,0,0.0004264155141087916,0.9130434782608695,1,0.8097456898350938,1,0.30974568983509376,1,1,0,0,0
428292,825,65,0.7034216453931138,3,0,0.0005191145389150506,0.8928571428571429,1,0.8095665215358117,1,0.30956652153581166,1,1,0,0,0
170089,825,65,0.7034216453931138,3,0,0.0005191145389150506,0.8928571428571429,1,0.8095665215358117,0,0.30956652153581166,0,0,0,1,0
107521,860,105,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8091983602695189,1,0.30919836026951886,1,1,0,0,0
161585,955,185,0.7034216453931138,7,1,5.561941488375542e-05,1.0,1,0.8091825532175132,1,0.3091825532175132,1,1,0,0,0
209998,1185,75,0.7034216453931138,3,0,0.00012977863472876265,1.0,1,0.8091812103458007,1,0.3091812103458007,1,1,0,0,0
33631,1025,230,0.7034216453931138,4,0,0.00016685824465126627,0.8888888888888888,1,0.8091681216446115,1,0.3091681216446115,1,1,0,0,0
524304,1025,230,0.7034216453931138,4,0,0.00016685824465126627,0.8888888888888888,1,0.8091681216446115,1,0.3091681216446115,1,1,0,0,0
300270,855,110,0.7034216453931138,4,0,0.0002410174644962735,1.0,1,0.809103942078185,1,0.30910394207818503,1,1,0,0,0
144788,790,240,0.7034216453931138,7,1,5.561941488375542e-05,1.0,1,0.8090699050358298,1,0.30906990503582976,1,1,0,0,0
267892,705,265,0.7034216453931138,7,1,3.707960992250362e-05,1.0,1,0.8090161855455993,1,0.3090161855455993,1,1,0,0,0
101958,950,65,0.7034216453931138,2,0,0.0005191145389150506,0.8928571428571429,1,0.8089655797239199,1,0.3089655797239199,1,1,0,0,0
84864,925,70,0.7034216453931138,1,0,9.269902480625904e-05,0.8,1,0.8086572944390852,1,0.3086572944390852,1,1,0,0,0
260722,1040,115,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8084137718102502,1,0.3084137718102502,1,1,0,0,0
475908,1130,115,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8084137718102502,1,0.3084137718102502,1,1,0,0,0
268278,1030,105,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8084137718102502,1,0.3084137718102502,1,1,0,0,0
210780,795,65,0.7034216453931138,1,0,0.00040787570914753977,0.9090909090909091,1,0.8082319281323309,1,0.3082319281323309,1,1,0,0,0
269144,1025,230,0.7034216453931138,2,0,0.00016685824465126627,0.8888888888888888,1,0.8078810176951648,1,0.30788101769516485,1,1,0,0,0
202753,930,260,0.7034216453931138,6,1,9.269902480625904e-05,1.0,1,0.8078671466642307,1,0.30786714666423065,1,1,0,0,0
322883,1030,105,0.7034216453931138,2,0,0.00016685824465126627,1.0,1,0.8078301299524412,1,0.3078301299524412,1,1,0,0,0
517726,630,260,0.7034216453931138,2,0,0.00014831843969001447,1.0,1,0.8077997784411268,1,0.3077997784411268,1,1,0,0,0
102310,865,85,0.7034216453931138,4,0,0.0004264155141087916,1.0,1,0.8077766026689426,1,0.3077766026689426,1,1,0,0,0
145249,965,185,0.7034216453931138,3,0,0.00011123882976751084,1.0,1,0.8075735557061792,1,0.30757355570617917,1,1,0,0,0
321160,615,240,0.7034216453931138,3,0,0.00012977863472876265,1.0,1,0.807542092895583,1,0.307542092895583,1,1,0,0,0
268201,855,110,0.7034216453931138,3,0,0.0002410174644962735,1.0,1,0.8075163673545771,1,0.3075163673545771,1,1,0,0,0
375980,855,110,0.7034216453931138,3,0,0.0002410174644962735,1.0,1,0.8075163673545771,1,0.3075163673545771,1,1,0,0,0
90511,1150,140,0.7034216453931138,1,0,0.00016685824465126627,1.0,1,0.8074352960145675,1,0.30743529601456754,1,1,0,0,0
98129,1190,65,0.7034216453931138,5,0,0.0004264155141087916,0.9130434782608695,1,0.8072998480218532,1,0.3072998480218532,1,1,0,0,0
96119,830,245,0.7034216453931138,1,0,0.00011123882976751084,0.8333333333333334,1,0.8072439018445888,1,0.30724390184458883,1,1,0,0,0
467137,900,155,0.7034216453931138,1,0,0.0001853980496125181,0.9,1,0.8071489218148225,1,0.30714892181482245,1,1,0,0,0
316480,890,55,0.7034216453931138,3,0,0.00033371648930253253,0.9444444444444444,1,0.8068334210414672,1,0.30683342104146716,1,1,0,0,0
248978,695,170,0.7034216453931138,3,0,9.269902480625904e-05,1.0,1,0.8067971494875608,1,0.30679714948756076,1,1,0,0,0
527280,570,215,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8067606912030658,1,0.3067606912030658,1,1,0,0,0
29971,1220,130,0.7034216453931138,3,0,0.00014831843969001447,1.0,1,0.8067075856213235,1,0.3067075856213235,1,1,0,0,0
45119,1105,90,0.7034216453931138,3,0,0.0001853980496125181,0.9,1,0.8063307505115347,1,0.3063307505115347,1,1,0,0,0
322342,925,80,0.7034216453931138,1,0,0.0006488931736438133,0.9142857142857143,1,0.8063211937119344,1,0.30632119371193445,1,1,0,0,0
265000,1150,140,0.7034216453931138,4,0,0.00016685824465126627,1.0,1,0.806274083405995,1,0.30627408340599505,1,1,0,0,0
515636,885,240,0.7034216453931138,7,1,0.00014831843969001447,1.0,1,0.8062651340595599,1,0.3062651340595599,1,1,0,0,0
266797,650,160,0.7034216453931138,3,0,9.269902480625904e-05,1.0,1,0.8062359294515952,1,0.30623592945159517,1,1,0,0,0
137799,835,110,0.7034216453931138,2,0,0.0002410174644962735,1.0,1,0.8061654369915822,1,0.30616543699158216,1,1,0,0,0
260224,1230,115,0.7034216453931138,2,0,0.0002410174644962735,1.0,1,0.8061481370374994,1,0.30614813703749943,1,1,0,0,0
158672,575,265,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8057941951361423,1,0.30579419513614226,1,1,0,0,0
103566,1105,90,0.7034216453931138,2,0,0.0001853980496125181,0.9,1,0.8057471086537257,1,0.3057471086537257,1,1,0,0,0
31847,1140,230,0.7034216453931138,1,0,0.0002595572694575253,0.8571428571428571,1,0.8056999170402807,1,0.30569991704028066,1,1,0,0,0
530398,1140,230,0.7034216453931138,1,0,0.0002595572694575253,0.8571428571428571,1,0.8056999170402807,1,0.30569991704028066,1,1,0,0,0
305023,1040,135,0.7034216453931138,2,0,0.00011123882976751084,1.0,1,0.8051702171353651,1,0.3051702171353651,1,1,0,0,0
410018,805,215,0.7034216453931138,4,0,0.00014831843969001447,0.875,1,0.8050485888824837,1,0.30504858888248365,1,1,0,0,0
195898,1210,85,0.7034216453931138,3,0,0.0004264155141087916,1.0,1,0.8050163056859833,1,0.30501630568598326,1,1,0,0,0
375895,865,85,0.7034216453931138,4,0,0.0005932737587600579,0.90625,1,0.805011857783561,1,0.305011857783561,1,1,0,0,0
200256,970,65,0.7034216453931138,1,0,0.0006488931736438133,0.8857142857142857,1,0.8049754235135599,1,0.3049754235135599,1,1,0,0,0
205288,630,205,0.7034216453931138,3,0,0.00011123882976751084,1.0,1,0.8048169844903618,1,0.30481698449036176,1,1,0,0,0
484829,630,205,0.7034216453931138,3,0,0.00011123882976751084,1.0,1,0.8048169844903618,1,0.30481698449036176,1,1,0,0,0
529956,1130,230,0.7034216453931138,1,0,0.00022247765953502168,0.8333333333333334,1,0.8047336198978637,1,0.30473361989786374,1,1,0,0,0
526497,1175,135,0.7034216453931138,3,0,0.00016685824465126627,1.0,1,0.8046865086823871,1,0.3046865086823871,1,1,0,0,0
247165,760,290,0.7034216453931138,7,1,5.561941488375542e-05,1.0,1,0.8045706201748297,1,0.3045706201748297,1,1,0,0,0
528531,980,85,0.7034216453931138,2,0,0.0004264155141087916,1.0,1,0.8044326638281742,1,0.30443266382817424,1,1,0,0,0
264211,900,155,0.7034216453931138,3,0,0.0001853980496125181,0.9,1,0.8044001344826419,1,0.3044001344826419,1,1,0,0,0
257496,840,120,0.7034216453931138,5,0,0.00011123882976751084,1.0,1,0.8040753876052043,1,0.30407538760520425,1,1,0,0,0
316185,990,240,0.7034216453931138,6,1,0.00011123882976751084,1.0,1,0.8040184201968347,1,0.30401842019683467,1,1,0,0,0
354045,1070,240,0.7034216453931138,6,1,0.00014831843969001447,1.0,1,0.8040184201968347,1,0.30401842019683467,1,1,0,0,0
350080,1060,230,0.7034216453931138,4,0,0.0002595572694575253,0.8571428571428571,1,0.8039315130512438,0,0.3039315130512438,0,0,0,1,0
200581,1200,95,0.7034216453931138,5,0,0.00016685824465126627,1.0,1,0.803897269403248,1,0.303897269403248,1,1,0,0,0
200533,1225,95,0.7034216453931138,5,0,0.00016685824465126627,1.0,1,0.803897269403248,1,0.303897269403248,1,1,0,0,0
371553,775,360,0.7034216453931138,3,0,0.00014831843969001447,0.875,1,0.8038943786047761,1,0.3038943786047761,1,1,0,0,0
56132,1035,90,0.7034216453931138,4,0,0.0005932737587600579,0.90625,1,0.8038391355242096,0,0.3038391355242096,0,0,0,1,0
149614,1210,80,0.7034216453931138,4,0,0.0005932737587600579,0.90625,1,0.8038391355242096,1,0.3038391355242096,1,1,0,0,0
310029,1035,90,0.7034216453931138,4,0,0.0005932737587600579,0.90625,1,0.8038391355242096,1,0.3038391355242096,1,1,0,0,0
523882,725,135,0.7034216453931138,4,0,7.415921984500724e-05,1.0,1,0.80383007406461,1,0.30383007406461005,1,1,0,0,0
437108,900,155,0.7034216453931138,2,0,0.0001853980496125181,0.9,1,0.8038164926248329,0,0.3038164926248329,0,0,0,1,0
418945,750,270,0.7034216453931138,5,0,0.00020393785457376988,0.9090909090909091,1,0.8037537678366767,1,0.30375376783667674,1,1,0,0,0
194564,1070,155,0.7034216453931138,4,0,0.00022247765953502168,0.9166666666666666,1,0.8037373896363523,1,0.30373738963635233,1,1,0,0,0
101397,875,85,0.7034216453931138,3,0,0.0005932737587600579,0.90625,1,0.8034242830599532,1,0.30342428305995317,1,1,0,0,0
256876,635,65,0.7034216453931138,4,0,0.00016685824465126627,1.0,1,0.8033019003469148,1,0.30330190034691484,1,1,0,0,0
41821,1010,60,0.7034216453931138,4,0,0.00016685824465126627,0.8888888888888888,1,0.8032866335748484,1,0.3032866335748484,1,1,0,0,0
319826,1150,225,0.7034216453931138,3,0,0.0002595572694575253,0.8571428571428571,1,0.8032280509596061,1,0.30322805095960614,1,1,0,0,0
318237,875,165,0.7034216453931138,7,1,5.561941488375542e-05,1.0,1,0.8031600172482485,1,0.3031600172482485,1,1,0,0,0
305845,930,245,0.7034216453931138,6,1,0.00012977863472876265,1.0,1,0.8030637959193779,1,0.30306379591937793,1,1,0,0,0
87031,1135,230,0.7034216453931138,4,0,0.00022247765953502168,0.8333333333333334,1,0.8029652159088267,1,0.30296521590882675,1,1,0,0,0
87912,1015,70,0.7034216453931138,4,0,0.00012977863472876265,0.8571428571428571,1,0.8027084209353893,1,0.3027084209353893,1,1,0,0,0
158482,1040,195,0.7034216453931138,2,0,0.00012977863472876265,0.8571428571428571,1,0.802664984618204,1,0.302664984618204,1,1,0,0,0
466815,705,190,0.7034216453931138,4,0,0.00011123882976751084,1.0,1,0.8026542899027533,1,0.30265428990275334,1,1,0,0,0
535314,1150,225,0.7034216453931138,2,0,0.0002595572694575253,0.8571428571428571,1,0.8026444091017971,1,0.30264440910179713,1,1,0,0,0
148230,1305,75,0.7034216453931138,3,0,0.0005932737587600579,0.90625,1,0.8025755738649842,1,0.30257557386498424,1,1,0,0,0
470984,1210,80,0.7034216453931138,3,0,0.0005932737587600579,0.90625,1,0.8025755738649842,1,0.30257557386498424,1,1,0,0,0
265071,1120,80,0.7034216453931138,3,0,0.0006488931736438133,0.9142857142857143,1,0.8025755738649842,1,0.30257557386498424,1,1,0,0,0
261119,860,105,0.7034216453931138,5,0,0.00016685824465126627,1.0,1,0.8025545113257087,1,0.30255451132570865,1,1,0,0,0
92947,1100,65,0.7034216453931138,4,0,0.0006488931736438133,0.8857142857142857,1,0.8024933653258353,1,0.30249336532583526,1,1,0,0,0
315764,1050,65,0.7034216453931138,4,0,0.0006488931736438133,0.8857142857142857,1,0.8024933653258353,1,0.30249336532583526,1,1,0,0,0
201691,1270,95,0.7034216453931138,2,0,0.0003707960992250362,0.9,1,0.8024037059803335,1,0.3024037059803335,1,1,0,0,0
370590,1105,90,0.7034216453931138,5,0,0.0001853980496125181,0.9,1,0.8023244085677252,1,0.30232440856772524,1,1,0,0,0
254648,1220,85,0.7034216453931138,4,0,0.0005561941488375542,0.9,1,0.8022649372357173,1,0.30226493723571735,1,1,0,0,0
425910,1045,90,0.7034216453931138,4,0,0.0005561941488375542,0.9,1,0.8022649372357173,1,0.30226493723571735,1,1,0,0,0
90281,1045,90,0.7034216453931138,4,0,0.0005561941488375542,0.9,1,0.8022649372357173,1,0.30226493723571735,1,1,0,0,0
211219,1035,90,0.7034216453931138,3,0,0.0005932737587600579,0.90625,1,0.8022515608006018,1,0.3022515608006018,1,1,0,0,0
355800,1055,130,0.7034216453931138,5,0,0.00014831843969001447,1.0,1,0.8021910832143213,1,0.3021910832143213,1,1,0,0,0
524707,1015,70,0.7034216453931138,3,0,0.00012977863472876265,0.8571428571428571,1,0.8021265528391655,1,0.30212655283916545,1,1,0,0,0
198590,1120,125,0.7034216453931138,5,0,0.00020393785457376988,0.9090909090909091,1,0.8019546515652075,1,0.3019546515652075,1,1,0,0,0
205314,1185,225,0.7034216453931138,3,0,0.0002595572694575253,0.8571428571428571,1,0.8018462184838054,1,0.30184621848380544,1,1,0,0,0
211181,1055,65,0.7034216453931138,1,0,0.0004634951240312952,0.8,1,0.8018240978129421,1,0.30182409781294206,1,1,0,0,0
428415,710,55,0.7034216453931138,1,0,0.00033371648930253253,0.9444444444444444,1,0.8017010278911435,1,0.3017010278911435,1,1,0,0,0
269027,1000,250,0.7034216453931138,1,0,0.00040787570914753977,0.8181818181818182,1,0.8016239497367313,1,0.30162394973673134,1,1,0,0,0
305243,965,60,0.7034216453931138,4,0,0.00012977863472876265,0.8571428571428571,1,0.8015130397371537,1,0.3015130397371537,1,1,0,0,0
201031,1160,65,0.7034216453931138,1,0,0.00022247765953502168,0.8333333333333334,1,0.8013669634925147,1,0.3013669634925147,1,1,0,0,0
260357,585,85,0.7034216453931138,1,0,3.707960992250362e-05,1.0,1,0.8013280597195589,1,0.3013280597195589,1,1,0,0,0
465023,705,190,0.7034216453931138,3,0,0.00011123882976751084,1.0,1,0.8012834434872641,1,0.3012834434872641,1,1,0,0,0
93143,1125,125,0.7034216453931138,4,0,9.269902480625904e-05,0.8,1,0.8012525630267536,1,0.30125256302675363,1,1,0,0,0
315171,765,65,0.7034216453931138,3,0,0.00040787570914753977,0.9090909090909091,1,0.8012154125644722,1,0.30121541256447215,1,1,0,0,0
524452,805,80,0.7034216453931138,1,0,0.0006488931736438133,0.9142857142857143,1,0.8011617960695828,1,0.3011617960695828,1,1,0,0,0
