,name,type,nunique,values,empty,maxitem,maxratio,mean,maxvalue,minvalue
16,REGION_POPULATION_RELATIVE,float64,80,"[0.018801, 0.0035409999999999, 0.010032]",0.0,0.035792,0.05279676942145456,0.020844353434488816,0.072508,0.000533
17,DAYS_BIRTH,int64,16972,"[-9461, -16765, -19046]",0.0,-13891,0.00019991203870297068,-16026.462916316821,-7676.0,-25201.0
18,DAYS_EMPLOYED,int64,9873,"[-637, -1188, -225]",0.0,365243,0.17864139778497462,63288.91657670625,365243.0,-17531.0
19,DAYS_REGISTRATION,float64,14101,"[-3648.0, -1186.0, -4260.0]",0.0,-1.0,0.00038982847547079283,-4983.661438966855,0.0,-22392.0
20,DAYS_ID_PUBLISH,int64,5960,"[-2120, -291, -2531]",0.0,-4270,0.0005997361161089121,-2993.818459877654,0.0,-6265.0
21,OWN_CAR_AGE,float64,55,"[nan, 26.0, 17.0]",0.6601495342049498,7.0,0.07079411764705883,12.027676470588235,65.0,0.0
22,FLAG_MOBIL,int64,2,"[1, 0]",0.0,1,0.9999900043980648,0.9999900043980648,1.0,0.0
23,FLAG_EMP_PHONE,int64,2,"[1, 0]",0.0,1,0.8212886330014794,0.8212886330014794,1.0,0.0
24,FLAG_WORK_PHONE,int64,2,"[0, 1]",0.0,0,0.8002778777337971,0.19972212226620287,1.0,0.0
25,FLAG_CONT_MOBILE,int64,2,"[1, 0]",0.0,1,0.9979908840110352,0.9979908840110352,1.0,0.0
26,FLAG_PHONE,int64,2,"[1, 0]",0.0,0,0.7217824157370757,0.2782175842629243,1.0,0.0
27,FLAG_EMAIL,int64,2,"[0, 1]",0.0,0,0.9437747391147895,0.05622526088521051,1.0,0.0
28,OCCUPATION_TYPE,object,18,"['Laborers', 'Core staff', 'Accountants']",0.31220263084242933,Laborers,0.2614009591629124,,,
29,CNT_FAM_MEMBERS,float64,12,"[1.0, 2.0, 3.0]",9.995601935148535e-06,2.0,0.5172175964335336,2.1556430734784042,14.0,1.0
30,REGION_RATING_CLIENT,int64,3,"[2, 1, 3]",0.0,2,0.7373555635520371,2.0536164087801367,3.0,1.0
31,REGION_RATING_CLIENT_W_CITY,int64,3,"[2, 1, 3]",0.0,2,0.7457018911678861,2.0326156491143896,3.0,1.0
32,WEEKDAY_APPR_PROCESS_START,object,7,"['WEDNESDAY', 'MONDAY', 'THURSDAY']",0.0,TUESDAY,0.17410339450641718,,,
33,HOUR_APPR_PROCESS_START,int64,24,"[10, 11, 9]",0.0,10,0.12364559593778737,12.057614649554196,23.0,0.0
34,REG_REGION_NOT_LIVE_REGION,int64,2,"[0, 1]",0.0,0,0.9850165926992124,0.014983407300787654,1.0,0.0
35,REG_REGION_NOT_WORK_REGION,int64,2,"[0, 1]",0.0,0,0.9497021310623326,0.050297868937667425,1.0,0.0
36,LIVE_REGION_NOT_WORK_REGION,int64,2,"[0, 1]",0.0,0,0.9600875614729519,0.0399124385270481,1.0,0.0
37,REG_CITY_NOT_LIVE_CITY,int64,2,"[0, 1]",0.0,0,0.9210247491103914,0.07897525088960858,1.0,0.0
38,REG_CITY_NOT_WORK_CITY,int64,2,"[0, 1]",0.0,0,0.7688816920554956,0.23111830794450441,1.0,0.0
39,LIVE_CITY_NOT_WORK_CITY,int64,2,"[0, 1]",0.0,0,0.8208788133221383,0.17912118667786175,1.0,0.0
40,ORGANIZATION_TYPE,object,58,"['Business Entity Type 3', 'School', 'Government']",0.0,Business Entity Type 3,0.22272200231897965,,,
41,EXT_SOURCE_1,float64,41502,"[0.0830369673913225, 0.3112673113812225, nan]",0.562852344968214,0.3425031657272796,9.146202039603055e-05,0.5029705920742239,0.9516239622079844,0.0145681324124455
42,EXT_SOURCE_2,float64,65776,"[0.2629485927471776, 0.6222457752555098, 0.5559120833904428]",0.002149054416056935,0.2858978721410488,0.002293922607659097,0.5142031445320833,0.8549996664047012,8.173616518884397e-08
43,EXT_SOURCE_3,float64,765,"[0.1393757800997895, nan, 0.7295666907060153]",0.19830274679141177,0.746300213050371,0.005772707437192195,0.5104250817267536,0.8960095494948396,0.0005272652387098
44,APARTMENTS_AVG,float64,1850,"[0.0247, 0.0959, nan]",0.5068369917236416,0.0825,0.04388098423122137,0.11726294337022175,1.0,0.0
45,BASEMENTAREA_AVG,float64,3211,"[0.0369, 0.0529, nan]",0.5836032145855824,0.0,0.11284747227423304,0.08877529886216333,1.0,0.0
46,YEARS_BEGINEXPLUATATION_AVG,float64,220,"[0.9722, 0.9851, nan]",0.48703570429011234,0.9871,0.028352072331884876,0.9775910910189209,1.0,0.0
47,YEARS_BUILD_AVG,float64,142,"[0.6192, 0.7959999999999999, nan]",0.6634680740474191,0.8232,0.030266128074135677,0.7517260544136865,1.0,0.0
48,COMMONAREA_AVG,float64,2445,"[0.0143, 0.0605, nan]",0.6973431690056375,0.0,0.09230820040291951,0.04488248951418474,1.0,0.0
49,ELEVATORS_AVG,float64,207,"[0.0, 0.08, nan]",0.5330254687937308,0.0,0.5996618005907787,0.07842028340254294,1.0,0.0
50,ENTRANCES_AVG,float64,232,"[0.069, 0.0345, nan]",0.502828755347647,0.1379,0.22165704979995576,0.15008686342708943,1.0,0.0
51,FLOORSMAX_AVG,float64,300,"[0.0833, 0.2917, nan]",0.49690136340010393,0.1667,0.403421282682985,0.22577477549074149,1.0,0.0
52,FLOORSMIN_AVG,float64,230,"[0.125, 0.3333, nan]",0.6770421014753508,0.2083,0.33370473537604456,0.23153590529247914,1.0,0.0
53,LANDAREA_AVG,float64,2933,"[0.0369, 0.013, nan]",0.5924993003078646,0.0,0.12463206436420722,0.06622227972919936,1.0,0.0
54,LIVINGAPARTMENTS_AVG,float64,1458,"[0.0202, 0.0773, nan]",0.6826796209667746,0.0504,0.04583254583254583,0.10048633843633845,1.0,0.0
55,LIVINGAREA_AVG,float64,4354,"[0.019, 0.0549, nan]",0.5015293270960777,0.0,0.001844833463674828,0.10743253123182737,1.0,0.0
56,NONLIVINGAPARTMENTS_AVG,float64,287,"[0.0, 0.0039, nan]",0.6927751789212746,0.0,0.5825091098386257,0.008994713040083292,1.0,0.0
57,NONLIVINGAREA_AVG,float64,2487,"[0.0, 0.0098, nan]",0.5507176842189436,0.0,0.42504672065497906,0.02801592284417549,1.0,0.0
58,APARTMENTS_MODE,float64,681,"[0.0252, 0.0924, nan]",0.5068369917236416,0.063,0.050022295188293,0.11395110259840283,1.0,0.0
59,BASEMENTAREA_MODE,float64,3267,"[0.0383, 0.0538, nan]",0.5836032145855824,0.0,0.1277785779442124,0.08780531950645734,1.0,0.0
60,YEARS_BEGINEXPLUATATION_MODE,float64,187,"[0.9722, 0.9851, nan]",0.48703570429011234,0.9871,0.02786492332274596,0.9769092597283656,1.0,0.0
61,YEARS_BUILD_MODE,float64,144,"[0.6341, 0.804, nan]",0.6634680740474191,0.8301,0.02964239040038018,0.7589929190923133,1.0,0.0
62,COMMONAREA_MODE,float64,2384,"[0.0144, 0.0497, nan]",0.6973431690056375,0.0,0.10614617391591533,0.04276391558505895,1.0,0.0
63,ELEVATORS_MODE,float64,26,"[0.0, 0.0806, nan]",0.5330254687937308,0.0,0.6256903120852776,0.07394846954064814,1.0,0.0
64,ENTRANCES_MODE,float64,30,"[0.069, 0.0345, nan]",0.502828755347647,0.1379,0.23444379661834777,0.14550783288767366,1.0,0.0
65,FLOORSMAX_MODE,float64,25,"[0.0833, 0.2917, nan]",0.49690136340010393,0.1667,0.4268258761821505,0.22188947190654054,1.0,0.0
66,FLOORSMIN_MODE,float64,24,"[0.125, 0.3333, nan]",0.6770421014753508,0.2083,0.3493345713401424,0.22781297740637574,1.0,0.0
67,LANDAREA_MODE,float64,2943,"[0.0377, 0.0128, nan]",0.5924993003078646,0.0,0.13959478021978022,0.0647965389521193,1.0,0.0
68,LIVINGAPARTMENTS_MODE,float64,644,"[0.022, 0.079, nan]",0.6826796209667746,0.0551,0.052038052038052035,0.10523193158193159,1.0,0.0
69,LIVINGAREA_MODE,float64,4422,"[0.0198, 0.0554, nan]",0.5015293270960777,0.0,0.0028875654214040787,0.10592740379795061,1.0,0.0
70,NONLIVINGAPARTMENTS_MODE,float64,122,"[0.0, nan, 0.0195]",0.6927751789212746,0.0,0.6311491410723582,0.008185486074960956,1.0,0.0
71,NONLIVINGAREA_MODE,float64,2512,"[0.0, nan, 0.106]",0.5507176842189436,0.0,0.4853608614398861,0.0267958240633621,1.0,0.0
72,APARTMENTS_MEDI,float64,1002,"[0.025, 0.0968, nan]",0.5068369917236416,0.0833,0.0469009688272731,0.11763542502736225,1.0,0.0
73,BASEMENTAREA_MEDI,float64,3206,"[0.0369, 0.0529, nan]",0.5836032145855824,0.0,0.11474386672427865,0.08823769984156705,1.0,0.0
74,YEARS_BEGINEXPLUATATION_MEDI,float64,196,"[0.9722, 0.9851, nan]",0.48703570429011234,0.9871,0.028313100411153765,0.9776193904791598,1.0,0.0
75,YEARS_BUILD_MEDI,float64,141,"[0.6243, 0.7987, nan]",0.6634680740474191,0.8256,0.029731495782345255,0.7550330967090414,1.0,0.0
76,COMMONAREA_MEDI,float64,2455,"[0.0144, 0.0608, nan]",0.6973431690056375,0.0,0.0950163479639354,0.044827880709402565,1.0,0.0
77,ELEVATORS_MEDI,float64,45,"[0.0, 0.08, nan]",0.5330254687937308,0.0,0.6084164561839119,0.0775499807354767,1.0,0.0
78,ENTRANCES_MEDI,float64,46,"[0.069, 0.0345, nan]",0.502828755347647,0.1379,0.2319909929833732,0.1495371519330907,1.0,0.0
79,FLOORSMAX_MEDI,float64,48,"[0.0833, 0.2917, nan]",0.49690136340010393,0.1667,0.41430898831757135,0.22543980370340935,1.0,0.0
80,FLOORSMIN_MEDI,float64,46,"[0.125, 0.3333, nan]",0.6770421014753508,0.2083,0.34255648406066236,0.23131303930671618,1.0,0.0
81,LANDAREA_MEDI,float64,2956,"[0.0375, 0.0132, nan]",0.5924993003078646,0.0,0.126986852433281,0.0670391458987441,1.0,0.0
82,LIVINGAPARTMENTS_MEDI,float64,947,"[0.0205, 0.0787, nan]",0.6826796209667746,0.0513,0.04816354816354816,0.10162373842373845,1.0,0.0
83,LIVINGAREA_MEDI,float64,4432,"[0.0193, 0.0558, nan]",0.5015293270960777,0.0,0.0019450961519180251,0.10860726703964385,1.0,0.0
84,NONLIVINGAPARTMENTS_MEDI,float64,159,"[0.0, 0.0039, nan]",0.6927751789212746,0.0,0.5988742842269651,0.008841570145757418,1.0,0.0
85,NONLIVINGAREA_MEDI,float64,2520,"[0.0, 0.01, nan]",0.5507176842189436,0.0,0.44171042093085344,0.027972394767286645,1.0,0.0
86,FONDKAPREMONT_MODE,object,4,"['reg oper account', nan, 'org spec account']",0.6821998320738875,reg oper account,0.7638862678492797,,,
87,HOUSETYPE_MODE,object,3,"['block of flats', nan, 'terraced house']",0.501079525008996,block of flats,0.9822294346275594,,,
88,TOTALAREA_MODE,float64,4347,"[0.0149, 0.0714, nan]",0.48225780656511136,0.0,0.003957758171322663,0.10255032337780183,1.0,0.0
89,WALLSMATERIAL_MODE,object,7,"['Stone, brick', 'Block', nan]",0.5076666266842589,Panel,0.4351030352248503,,,
90,EMERGENCYSTATE_MODE,object,2,"['No', nan, 'Yes']",0.4733617208428292,No,0.986106629718906,,,
91,OBS_30_CNT_SOCIAL_CIRCLE,float64,31,"[2.0, 1.0, 0.0]",0.0032685618327935708,0.0,0.5335800314891141,1.4224054073026666,47.0,0.0
92,DEF_30_CNT_SOCIAL_CIRCLE,float64,7,"[2.0, 0.0, 1.0]",0.0032685618327935708,0.0,0.8863985077770089,0.1418313828133618,6.0,0.0
93,OBS_60_CNT_SOCIAL_CIRCLE,float64,30,"[2.0, 1.0, 0.0]",0.0032685618327935708,0.0,0.5359667860043924,1.4056479837941374,47.0,0.0
94,DEF_60_CNT_SOCIAL_CIRCLE,float64,6,"[2.0, 0.0, 1.0]",0.0032685618327935708,0.0,0.9172056921086675,0.09837841090285508,5.0,0.0
95,DAYS_LAST_PHONE_CHANGE,float64,3560,"[-1134.0, -828.0, -815.0]",9.995601935148535e-06,0.0,0.12327699089391561,-962.6209829773197,0.0,-4078.0
96,FLAG_DOCUMENT_2,int64,2,"[0, 1]",0.0,0,0.9999500219903242,4.997800967574267e-05,1.0,0.0
97,FLAG_DOCUMENT_3,int64,2,"[1, 0]",0.0,1,0.7121566510735277,0.7121566510735277,1.0,0.0
98,FLAG_DOCUMENT_4,int64,2,"[0, 1]",0.0,0,0.999860061572908,0.0001399384270920795,1.0,0.0
99,FLAG_DOCUMENT_5,int64,2,"[0, 1]",0.0,0,0.9847067290392227,0.015293270960777258,1.0,0.0
100,FLAG_DOCUMENT_6,int64,2,"[0, 1]",0.0,0,0.9132181839990404,0.08678181600095958,1.0,0.0
101,FLAG_DOCUMENT_7,int64,2,"[0, 1]",0.0,0,0.999800087961297,0.00019991203870297068,1.0,0.0
102,FLAG_DOCUMENT_8,int64,2,"[0, 1]",0.0,0,0.9190656111311023,0.08093438886889769,1.0,0.0
103,FLAG_DOCUMENT_9,int64,2,"[0, 1]",0.0,0,0.9963316140898005,0.0036683859101995123,1.0,0.0
104,FLAG_DOCUMENT_10,int64,2,"[0, 1]",0.0,0,0.9999800087961297,1.999120387029707e-05,1.0,0.0
105,FLAG_DOCUMENT_11,int64,2,"[0, 1]",0.0,0,0.995901803206589,0.0040981967934109,1.0,0.0
106,FLAG_DOCUMENT_12,int64,2,"[0, 1]",0.0,0,0.9999900043980648,9.995601935148535e-06,1.0,0.0
107,FLAG_DOCUMENT_13,int64,2,"[0, 1]",0.0,0,0.9964915437207629,0.0035084562792371357,1.0,0.0
108,FLAG_DOCUMENT_14,int64,2,"[0, 1]",0.0,0,0.9969913238175203,0.003008676182479709,1.0,0.0
109,FLAG_DOCUMENT_15,int64,2,"[0, 1]",0.0,0,0.9989104793890689,0.0010895206109311903,1.0,0.0
110,FLAG_DOCUMENT_16,int64,2,"[0, 1]",0.0,0,0.9898044860261485,0.010195513973851506,1.0,0.0
111,FLAG_DOCUMENT_17,int64,2,"[0, 1]",0.0,0,0.9997601055535564,0.00023989444644356483,1.0,0.0
112,FLAG_DOCUMENT_18,int64,2,"[0, 1]",0.0,0,0.9916536723841509,0.008346327615849027,1.0,0.0
113,FLAG_DOCUMENT_19,int64,2,"[0, 1]",0.0,0,0.9993602814761505,0.0006397185238495063,1.0,0.0
114,FLAG_DOCUMENT_20,int64,2,"[0, 1]",0.0,0,0.9994902243013074,0.0005097756986925752,1.0,0.0
115,FLAG_DOCUMENT_21,int64,2,"[0, 1]",0.0,0,0.9996801407380752,0.00031985926192475313,1.0,0.0
116,AMT_REQ_CREDIT_BUREAU_HOUR,float64,4,"[0.0, nan, 1.0]",0.13441085922194235,0.0,0.9937064794392415,0.0066284051410556944,3.0,0.0
117,AMT_REQ_CREDIT_BUREAU_DAY,float64,7,"[0.0, nan, 1.0]",0.13441085922194235,0.0,0.9939143388339088,0.007344365278242895,6.0,0.0
118,AMT_REQ_CREDIT_BUREAU_WEEK,float64,8,"[0.0, nan, 1.0]",0.13441085922194235,0.0,0.9684746584754668,0.03391572456320658,8.0,0.0
119,AMT_REQ_CREDIT_BUREAU_MON,float64,22,"[0.0, nan, 1.0]",0.13441085922194235,0.0,0.8354908368650185,0.2690393431643128,24.0,0.0
120,AMT_REQ_CREDIT_BUREAU_QRT,float64,9,"[0.0, nan, 1.0]",0.13441085922194235,0.0,0.808873286603462,0.266106216150675,8.0,0.0
121,AMT_REQ_CREDIT_BUREAU_YEAR,float64,21,"[1.0, 0.0, nan]",0.13441085922194235,0.0,0.2716953243183944,1.8922018083767336,25.0,0.0
